"sequence","model_id","name","registry_id","entry_kind","nav_path","domain_tags","priority_score","priority_confidence","registry_review_state","stream_status"
"272","WM-POL-014","Rights / Entitlements","vr.wm-pol-014","standalone-mm","NAV.SOC.POL","SOC.POL","63","low","migration-boundary-review","queued"
"278","WM-SFT-003","API / Interface","vr.wm-sft-003","standalone-mm","NAV.INF.SFT.API","INF.SFT.API","63","low","first-pass-reviewed","queued"
"284","WM-ACT-037","Survey Administration","vr.wm-act-037","standalone-mm","NAV.ACT.SRVY","ACT.SRVY","61","low","boundary-review-required","queued"
"290","WM-BLT-005","Civil Works","vr.wm-blt-005","standalone-mm","NAV.PHY.BLT.CIV","PHY.BLT.CIV","61","low","migration-boundary-review","queued"
"296","WM-EAR-011","Land Cover / Land Use","vr.wm-ear-011","standalone-mm","NAV.PHY.EAR.LND","PHY.EAR.LND","61","low","boundary-review-required","queued"
"302","WM-FLW-005","Waste / Circular","vr.wm-flw-005","standalone-mm","NAV.PHY.FLW.WST","PHY.FLW.WST","61","low","migration-boundary-review","queued"
"308","WM-LIV-011","Genome / Genomic Assembly","vr.wm-liv-011","standalone-mm","NAV.PHY.LIV.MOL","PHY.LIV.MOL","61","low","boundary-review-required","queued"
"314","WM-LIV-019","Livestock Breed","vr.wm-liv-019","standalone-mm","NAV.PHY.LIV.CUL","PHY.LIV.CUL","61","low","boundary-review-required","queued"
"320","WM-MAT-005","Lab Sample / Specimen","vr.wm-mat-005","standalone-mm","NAV.PHY.MAT.SAM","PHY.MAT.SAM","61","low","first-pass-reviewed","queued"
"326","WM-MED-007","Broadcast / Stream","vr.wm-med-007","standalone-mm","NAV.INF.MED.STR","INF.MED.STR","61","low","boundary-review-required","queued"
"332","WM-OBJ-009","Packaging / Returnable Asset","vr.wm-obj-009","standalone-mm","NAV.PHY.OBJ.PKG","PHY.OBJ.PKG","61","low","first-pass-reviewed","queued"
"338","WM-OBJ-015","Consumable / Supply","vr.wm-obj-015","standalone-mm","NAV.PHY.OBJ.CSV","PHY.OBJ.CSV","61","low","first-pass-reviewed","queued"
"344","WM-PER-014","Preference / Personal Profile","vr.wm-per-014","mixin","NAV.SOC.PER.PRF","SOC.PER.PRF","61","low","boundary-review-required","queued"
"350","WM-PLC-007","Maritime Zone","vr.wm-plc-007","standalone-mm","NAV.PHY.PLC.MAR","PHY.PLC.MAR","61","low","first-pass-reviewed","queued"
"356","WM-POL-025","Immigration / Visa Case","vr.wm-pol-025","standalone-mm","NAV.SOC.POL.MIG","SOC.POL.MIG","61","low","boundary-review-required","queued"
"362","WM-VRT-010","Distributed Ledger Network","vr.wm-vrt-010","standalone-mm","NAV.INF.VRT.DLT","INF.VRT.DLT","61","low","boundary-review-required","queued"
"368","WM-CIV-002","Religion Institution","vr.wm-civ-002","standalone-mm","NAV.SOC.CIV.REL","SOC.CIV.REL","45","low","migration-boundary-review","queued"
"374","WM-EAR-001","Weather","vr.wm-ear-001","standalone-mm","NAV.PHY.EAR.WTH","PHY.EAR.WTH","45","low","migration-boundary-review","queued"
"380","WM-EAR-007","Air Quality","vr.wm-ear-007","standalone-mm","NAV.PHY.EAR.AIRQ","PHY.EAR.AIRQ","45","low","first-pass-reviewed","queued"
"386","WM-LIV-005","Wildlife","vr.wm-liv-005","standalone-mm","NAV.PHY.LIV.WLD","PHY.LIV.WLD","45","low","migration-boundary-review","queued"
"392","WM-SPC-001","Space Object / Orbit","vr.wm-spc-001","standalone-mm","NAV.PHY.SPC.OBJ","PHY.SPC.OBJ","45","low","migration-boundary-review","queued"
"398","WM-SPC-003","Astronomical Observation","vr.wm-spc-003","standalone-mm","NAV.PHY.SPC.OBS","PHY.SPC.OBS","43","low","boundary-review-required","queued"
