"sequence","model_id","name","registry_id","entry_kind","nav_path","domain_tags","priority_score","priority_confidence","registry_review_state","stream_status"
"247","WM-ECO-011","Economic Asset view","vr.wm-eco-011","view-candidate","NAV.SOC.ECO.AST","SOC.ECO.AST","63","low","migration-boundary-review","queued"
"253","WM-KNW-004","Knowledge Article","vr.wm-knw-004","standalone-mm","NAV.INF.KNW.ART","INF.KNW.ART","63","low","first-pass-reviewed","queued"
"259","WM-PER-004","Household / Family","vr.wm-per-004","standalone-mm","NAV.SOC.PER.HH","SOC.PER.HH","63","low","migration-boundary-review","queued"
"265","WM-POL-005","Treaty","vr.wm-pol-005","standalone-mm","NAV.SOC.POL.TRY","SOC.POL.TRY","63","low","migration-boundary-review","queued"
"271","WM-POL-013","Registry Mandate","vr.wm-pol-013","standalone-mm","NAV.SOC.POL.RGY","SOC.POL.RGY","63","low","migration-boundary-review","queued"
"277","WM-SFT-002","Deployed System","vr.wm-sft-002","standalone-mm","NAV.INF.SFT.SYS","INF.SFT.SYS","63","low","migration-boundary-review","queued"
"283","WM-VRT-006","Channel / Community","vr.wm-vrt-006","standalone-mm","NAV.INF.VRT.CH","INF.VRT.CH","63","low","first-pass-reviewed","queued"
"289","WM-BLT-004","Utility Service Point","vr.wm-blt-004","standalone-mm","NAV.PHY.BLT.UTL","PHY.BLT.UTL","61","low","migration-boundary-review","queued"
"295","WM-DAT-012","Synthetic Data Product","vr.wm-dat-012","standalone-mm","NAV.INF.DAT.SYN","INF.DAT.SYN","61","low","boundary-review-required","queued"
"301","WM-FLW-003","Food Supply Chain","vr.wm-flw-003","standalone-mm","NAV.PHY.FLW.FOOD","PHY.FLW.FOOD","61","low","migration-boundary-review","queued"
"307","WM-KNW-019","Mathematical / Computational Model","vr.wm-knw-019","standalone-mm","NAV.INF.KNW.MATH","INF.KNW.MATH","61","low","boundary-review-required","queued"
"313","WM-LIV-018","Crop Variety / Cultivar","vr.wm-liv-018","standalone-mm","NAV.PHY.LIV.CUL","PHY.LIV.CUL","61","low","boundary-review-required","queued"
"319","WM-MAT-004","Material Batch / Lot","vr.wm-mat-004","standalone-mm","NAV.PHY.MAT.SAM","PHY.MAT.SAM","61","low","first-pass-reviewed","queued"
"325","WM-MED-006","3D Asset / Scene","vr.wm-med-006","standalone-mm","NAV.INF.MED.3D","INF.MED.3D","61","low","boundary-review-required","queued"
"331","WM-OBJ-008","Device / Sensor / Compute HW","vr.wm-obj-008","standalone-mm","NAV.PHY.OBJ.DEV","PHY.OBJ.DEV","61","low","migration-boundary-review","queued"
"337","WM-OBJ-014","Furniture / Fixture","vr.wm-obj-014","subtype-profile","NAV.PHY.OBJ.FUR","PHY.OBJ.FUR","61","low","first-pass-reviewed","queued"
"343","WM-ORG-017","Performance Objective / Review","vr.wm-org-017","standalone-mm","NAV.SOC.ORG.PERF","SOC.ORG.PERF","61","low","boundary-review-required","queued"
"349","WM-PLC-006","Point of Interest","vr.wm-plc-006","standalone-mm","NAV.PHY.PLC.POI","PHY.PLC.POI","61","low","migration-boundary-review","queued"
"355","WM-POL-024","Detention / Custody","vr.wm-pol-024","standalone-mm","NAV.SOC.POL.CUS","SOC.POL.CUS","61","low","boundary-review-required","queued"
"361","WM-VRT-009","Virtual Economy","vr.wm-vrt-009","standalone-mm","NAV.INF.VRT.ECO","INF.VRT.ECO","61","low","boundary-review-required","queued"
"367","WM-CIV-001","Sport","vr.wm-civ-001","standalone-mm","NAV.SOC.CIV.SPT","SOC.CIV.SPT","45","low","migration-boundary-review","queued"
"373","WM-CIV-007","News Item","vr.wm-civ-007","standalone-mm","NAV.SOC.CIV.NWS","SOC.CIV.NWS","45","low","first-pass-reviewed","queued"
"379","WM-EAR-006","Cryosphere","vr.wm-ear-006","standalone-mm","NAV.PHY.EAR.CRY","PHY.EAR.CRY","45","low","first-pass-reviewed","queued"
"385","WM-LIV-004","Vegetation Cover","vr.wm-liv-004","standalone-mm","NAV.PHY.LIV.VEG","PHY.LIV.VEG","45","low","migration-boundary-review","queued"
"391","WM-LIV-010","Habitat","vr.wm-liv-010","standalone-mm","NAV.PHY.LIV.HAB","PHY.LIV.HAB","45","low","first-pass-reviewed","queued"
"397","WM-LIV-022","Conservation Status Assessment","vr.wm-liv-022","standalone-mm","NAV.PHY.LIV.CNS","PHY.LIV.CNS","43","low","boundary-review-required","queued"
