"sequence","model_id","name","registry_id","entry_kind","nav_path","domain_tags","priority_score","priority_confidence","registry_review_state","stream_status"
"183","WM-MED-008","Content Provenance Credential","vr.wm-med-008","standalone-mm","NAV.INF.MED.PRV","INF.MED.PRV","74","low","boundary-review-required","queued"
"189","WM-ORG-012","Inter-organizational Relationship","vr.wm-org-012","standalone-mm","NAV.SOC.ORG.REL","SOC.ORG.REL","74","low","boundary-review-required","queued"
"195","WM-PER-011","Interpersonal Relationship","vr.wm-per-011","standalone-mm","NAV.SOC.PER.REL","SOC.PER.REL","74","low","boundary-review-required","queued"
"201","WM-POL-020","Evidence Item / Exhibit","vr.wm-pol-020","standalone-mm","NAV.SOC.POL.EVD","SOC.POL.EVD","74","low","boundary-review-required","queued"
"207","WM-REC-011","Evidence / Supporting Record","vr.wm-rec-011","standalone-mm","NAV.INF.REC.EVD","INF.REC.EVD","74","low","boundary-review-required","queued"
"213","WM-SFT-013","Software Change / Pull Request","vr.wm-sft-013","standalone-mm","NAV.INF.SFT.CHG","INF.SFT.CHG","74","low","boundary-review-required","queued"
"219","WM-XCT-038","Policy Evaluation","vr.wm-xct-038","pattern","NAV.XCT.POL","XCT.POL","74","low","boundary-review-required","queued"
"225","WM-XCT-018","Registry Federation","vr.wm-xct-018","pattern","NAV.XCT.FED","XCT.FED","65","low","migration-boundary-review","queued"
"231","WM-ACT-009","Method / Procedure","vr.wm-act-009","standalone-mm","NAV.ACT.MTH","ACT.MTH","63","low","migration-boundary-review","queued"
"237","WM-ACT-017","Situation","vr.wm-act-017","standalone-mm","NAV.ACT.SIT","ACT.SIT","63","low","migration-boundary-review","queued"
"243","WM-ECO-003","Insurance","vr.wm-eco-003","standalone-mm","NAV.SOC.ECO.INS","SOC.ECO.INS","63","low","migration-boundary-review","queued"
"249","WM-ECO-014","Sustainability Claim / PCF","vr.wm-eco-014","standalone-mm","NAV.SOC.ECO.ESG","SOC.ECO.ESG","63","low","migration-boundary-review","queued"
"255","WM-ORG-007","Mandate / Charter","vr.wm-org-007","standalone-mm","NAV.SOC.ORG.MND","SOC.ORG.MND","63","low","migration-boundary-review","queued"
"261","WM-PER-006","Life Event / Civil Status","vr.wm-per-006","standalone-mm","NAV.SOC.PER.CIV","SOC.PER.CIV","63","low","migration-boundary-review","queued"
"267","WM-POL-007","Defense Force","vr.wm-pol-007","standalone-mm","NAV.SOC.POL.DEF","SOC.POL.DEF","63","low","migration-boundary-review","queued"
"273","WM-REC-002","Report / Statement","vr.wm-rec-002","standalone-mm","NAV.INF.REC.RPT","INF.REC.RPT","63","low","migration-boundary-review","queued"
"279","WM-SFT-005","Source Repository","vr.wm-sft-005","standalone-mm","NAV.INF.SFT.REPO","INF.SFT.REPO","63","low","first-pass-reviewed","queued"
"285","WM-ACT-041","Public Consultation","vr.wm-act-041","standalone-mm","NAV.ACT.CIV","ACT.CIV","61","low","boundary-review-required","queued"
"291","WM-BLT-007","Construction Work","vr.wm-blt-007","standalone-mm","NAV.PHY.BLT.WRK","PHY.BLT.WRK","61","low","migration-boundary-review","queued"
"297","WM-EAR-012","Environmental Monitoring Station","vr.wm-ear-012","standalone-mm","NAV.PHY.EAR.MON","PHY.EAR.MON","61","low","boundary-review-required","queued"
"303","WM-FLW-006","Emission","vr.wm-flw-006","standalone-mm","NAV.PHY.FLW.EMS","PHY.FLW.EMS","61","low","migration-boundary-review","queued"
"309","WM-LIV-013","Gene / Genomic Feature","vr.wm-liv-013","standalone-mm","NAV.PHY.LIV.MOL","PHY.LIV.MOL","61","low","boundary-review-required","queued"
"315","WM-LIV-024","Biobank / Sample Repository","vr.wm-liv-024","standalone-mm","NAV.PHY.LIV.REP","PHY.LIV.REP","61","low","boundary-review-required","queued"
"321","WM-MAT-006","Hazardous-material profile","vr.wm-mat-006","standalone-mm","NAV.PHY.MAT.HAZ","PHY.MAT.HAZ","61","low","first-pass-reviewed","queued"
"327","WM-OBJ-003","Tradable Offer / Commodity view","vr.wm-obj-003","view-candidate","NAV.PHY.OBJ.TYPE","PHY.OBJ.TYPE","61","low","migration-boundary-review","queued"
"333","WM-OBJ-010","Textile / Apparel / PPE","vr.wm-obj-010","standalone-mm","NAV.PHY.OBJ.TEX","PHY.OBJ.TEX","61","low","first-pass-reviewed","queued"
"339","WM-OBJ-016","Cultural Artifact","vr.wm-obj-016","standalone-mm","NAV.PHY.OBJ.HER","PHY.OBJ.HER","61","low","migration-boundary-review","queued"
"345","WM-PER-015","Reputation / Trust Assessment","vr.wm-per-015","standalone-mm","NAV.SOC.PER.TRU","SOC.PER.TRU","61","low","boundary-review-required","queued"
"351","WM-PLC-008","Airspace","vr.wm-plc-008","standalone-mm","NAV.PHY.PLC.AIR","PHY.PLC.AIR","61","low","first-pass-reviewed","queued"
"357","WM-POL-028","Border Crossing Event","vr.wm-pol-028","standalone-mm","NAV.SOC.POL.BRD","SOC.POL.BRD","61","low","boundary-review-required","queued"
"363","WM-VRT-011","Smart Contract","vr.wm-vrt-011","standalone-mm","NAV.INF.VRT.SC","INF.VRT.SC","61","low","boundary-review-required","queued"
"369","WM-CIV-003","Tourism","vr.wm-civ-003","view-candidate","NAV.SOC.CIV.TOU","SOC.CIV.TOU","45","low","migration-boundary-review","queued"
"375","WM-EAR-002","Climate","vr.wm-ear-002","standalone-mm","NAV.PHY.EAR.CLI","PHY.EAR.CLI","45","low","migration-boundary-review","queued"
"381","WM-EAR-008","Biodiversity Occurrence","vr.wm-ear-008","standalone-mm","NAV.PHY.EAR.BIO","PHY.EAR.BIO","45","low","first-pass-reviewed","queued"
"387","WM-LIV-006","Ecosystem / Biome","vr.wm-liv-006","standalone-mm","NAV.PHY.LIV.ECO","PHY.LIV.ECO","45","low","migration-boundary-review","queued"
"393","WM-SPC-002","Celestial Body","vr.wm-spc-002","standalone-mm","NAV.PHY.SPC.BDY","PHY.SPC.BDY","45","low","first-pass-reviewed","queued"
"399","WM-SPC-004","Satellite Mission / Programme","vr.wm-spc-004","standalone-mm","NAV.PHY.SPC.MSN","PHY.SPC.MSN","43","low","boundary-review-required","queued"
