ID,Cluster,MetaModel,Purpose,KeyObjects,OwnerArchetype,ExternalStandards,Status
U5,Built Environment,Utility Service Point,"Connections for water, heat, power, sewage",service_point; connection; meter; tariff_ref,utility operator,IEC CIM,described
U6,Built Environment,Construction & Works,Construction projects and works in progress,work; permit; stage; acceptance,developer organization; permits via A,IFC processes,described
K1,Activity & Work,Function & Capability,What an agent is able to do,function; capability; proficiency; capacity,the capable agent,ESCO (skills); V1,described
K2,Activity & Work,Act / Action,"Atomic actions: who did what, to what, when, where",act; actor_ref; object_ref; time; place; outcome,the acting agent,PROV; MU Event,described
K3,Activity & Work,Process & Workflow,Repeatable multi-step activities,process; step; role; state,process owner (org or agent),BPMN,described
K4,Activity & Work,Service,Defined offerings and their delivery,service; offer; delivery; quality_level,service provider,CPSV; schema:Service,described
K5,Activity & Work,Project,Bounded undertakings with goals and resources,project; goal; milestone; resource_allocation,sponsoring organization,PROV; PM practice,described
K6,Activity & Work,Practice Method & Procedure,Codified ways of doing things,method; procedure; standard_ref; competence_req,authoring organization,ISO management systems,described
K7,Activity & Work,Plan & Schedule,Intentions bound to time,plan; schedule; commitment; dependency,the planning agent,iCalendar; PROV,described
N1,Knowledge & Information,Document & Record,Documents as governed records,document; version; signature; retention,author/issuing organization,Dublin Core,described
N2,Knowledge & Information,Report & Statement,"Structured reporting (financial, statistical, compliance)",report; period; figure; assertion,reporting organization,XBRL; SDMX,described
N3,Knowledge & Information,Dataset & Data Register,Datasets as catalogued assets,dataset; distribution; schema_ref; quality,data holder,DCAT,described
N4,Knowledge & Information,Software Product & System,Software described in full context,product; system; release; dependency,producing organization,AISMM (bind whole model),described
N5,Knowledge & Information,Media & Creative Work,"Works of media, art and entertainment",work; expression; rights; distribution,author/rights holder,schema:CreativeWork,described
N6,Knowledge & Information,Model & Ontology,Models and ontologies as first-class objects,model; version; fingerprint; conformance,model steward,Meta-Universe (MMAS),described
N7,Knowledge & Information,Message & Communication,Communications between agents,message; channel; thread; delivery_status,sender (owner of the message record),email/messaging standards,described
N8,Knowledge & Information,Identifier & Naming System,Identifier schemes and namespaces,scheme; identifier; assignment; resolution,scheme registrar,ISO identifier suites,described
O1,Organizations,Organization,"Any organization: company, NGO, community, institution",organization; legal_form; registration; purpose,the organization (via officers),W3C ORG; LEI; NACE,described
O2,Organizations,Organizational Unit,Internal structure of organizations,unit; reporting_line; mandate; headcount,parent organization,W3C ORG,described
O3,Organizations,Employment & Membership,Relations between persons and organizations,employment; membership; role_ref; term,both parties (bilateral record),ESCO; HR standards,described
O4,Organizations,Organizational Mandate & Charter,Constitutive rules of an organization,charter; mandate; power; accountability,the organization; A oversight for public bodies,legal templates,described
O5,Organizations,Commercial Contract & Agreement,Agreements between parties,contract; party; obligation; performance_status,the parties (bilateral); courts via A6,UNCITRAL; legal XML,described
R1,Registries & Ledgers,Registry (pattern),"The generic register: entries, evidence, registrar, legal effect",register; entry; evidence; effect,registrar per A12 mandate,MU registry doctrine,described
R2,Registries & Ledgers,Ledger & Account,Append-only accounts of quantity movements,ledger; account; posting; balance,ledger operator (Æ: state; $: settlement rail),ISO 20022,described
R3,Registries & Ledgers,Event Register,Semantic-Timeline event stores per domain,event_log; event_ref; sequence; integrity_proof,domain registrar,MU Event; Merkle logs,described
R4,Registries & Ledgers,Identity Register,"Anchoring identity of persons, orgs, things",identity; identifier_binding; status; key,registrar (Identity); subject rights via S,W3C DID,described
R5,Registries & Ledgers,Attestation Certificate & License,Issued claims with validity,attestation; issuer; subject; validity; revocation,issuer; subject holds copy,W3C Verifiable Credentials,described
R6,Registries & Ledgers,Registry Federation & Mirroring,Reference-not-copy rules between registers,federation_link; mirror; freshness; authority,registrars jointly,MU ARCH-018; MUFP,described
F1,Flows & Resources,Energy,"Energy carriers, generation, consumption, balance",carrier; generation; consumption; grid_balance,grid/asset operators; Energy sub-agent,IEC CIM,described
F2,Flows & Resources,Money & Monetary Instrument,Money as instrument ($ side of the two-layer system),currency; instrument; holding; payment,holder; settlement rail operator,ISO 4217; ISO 20022,described
F3,Flows & Resources,Goods Movement & Logistics,Physical movement of goods,shipment; route; custody_chain; event,shipper/carrier (per leg),UN/CEFACT; EPCIS,described
F4,Flows & Resources,Water & Food Supply,Supply chains of water and food,supply_chain; source; treatment; distribution,operators; Agro/Health oversight,FAO; EPCIS,described
F5,Flows & Resources,Waste & Circular Flows,"Waste streams, recycling, circular loops",waste_stream; treatment; recovery; disposal,generator and processor,EU waste codes,described
F6,Flows & Resources,Emission & Environmental Flux,Emissions and environmental releases,emission; source_ref; quantity; abatement,emitting owner; Ecology verification,GHG Protocol,described
X1,Events & Phenomena,Occurrence / Event,"Generic events: what happened, when, where, who",occurrence; participant; time; place; cause_ref,primary actor or observing registrar,MU Event; OWL-Time,described
X2,Events & Phenomena,Observed Phenomenon,Recurring natural or social patterns,phenomenon; observation_series; extent; trend,observing steward,SSN; statistics,described
X3,Events & Phenomena,Incident & Emergency,Harm events requiring response,incident; severity; response; resolution,Emergency sub-agent,CAP,described
X4,Events & Phenomena,Situation & Condition,States of affairs holding over time,situation; subject_ref; interval; status,subject's owner,OWL-Time,described
X5,Events & Phenomena,Encounter & Interaction,"Meetings, transactions, encounters between agents",interaction; parties; channel; outcome,parties (bilateral record),PROV,described
S1,Security Ownership & Access,Meta-Object Ownership & Stewardship,"Who controls every meta-object; transfers, delegation, guardianship",ownership; steward; delegation; transfer_event,the polity's root registry (constitutional),LADM (rights); MU,described
S2,Security Ownership & Access,Access Contract & Consent,Machine-readable permission to read,access_contract; grantor; grantee; scope; revocation,the data owner (grantor),MU Contract; ODRL,described
S3,Security Ownership & Access,Disclosure Scope & Projection Policy,"The shape data leaves in: subset, summary, aggregate",projection_policy; field_scope; aggregation_level,the data owner,MU Projection; Consent-and-Disclosure,described
S4,Security Ownership & Access,Access Audit,Append-only log of every read and grant,access_event; reader; contract_ref; time,audit registrar; visible to the owner,Merkle logs; MU Event,described
S5,Security Ownership & Access,Privacy Aggregation & Cohort Floor,Aggregated statistics at cohort grain with k-anonymity floors,cohort; aggregate; k_floor; suppression_rule,Statistics steward under Charter limits,differential privacy practice,described
S6,Security Ownership & Access,Verification & ZK Attestation,Prove predicates without disclosing data,attested_predicate; proof; verifier; validity,prover (owner) and verifier,MU Zero-Knowledge-Attestation,described
S7,Security Ownership & Access,Access Enforcement & Breach,Access violations breaches sanctions and remedies,breach; violation_case; sanction; remedy,enforcement registrar; adjudication via A19,ISO/IEC 27035,described
A10,Polity,Lawmaking & Legislative Voting,"Bills, readings, amendments, votes, enactment",bill; reading; amendment; vote; enactment,legislature; offices via A11,Akoma Ntoso; ELI,described
A11,Polity,Public Office & Official,"Offices, officeholders, appointments, accountability",office; officeholder; appointment; declaration,appointing authority; register public per A12,CPSV; W3C ORG,described
A12,Polity,State Registry Mandate,Which registers the state must keep and how,mandate; registrar_assignment; public_faith_rule,constitution/legislature,legal,described
B10,Society,Personal Health,Health status and care of a person,condition; encounter; observation; care_plan,the person (strictest S defaults),HL7 FHIR,described
B11,Society,Personal Property & Assets,Person-side view of owned things,holding; acquisition; disposal; encumbrance,the person,LADM; registers via R,described
B12,Society,Life Events & Civil Status,"Birth, marriage, divorce, death",life_event; civil_status; certificate_ref,the person; civil registrar keeps the register,civil registration standards,described
C7,Economy,Price Valuation & Appraisal,"Price observations, appraisals, indices",price_observation; appraisal; index; methodology,observing/appraising organization,SDMX; appraisal standards,described
C8,Economy,Insurance & Risk Pooling,"Policies, pools, claims as value routing",policy; pool; premium; claim,insurer and insured (bilateral),ACORD,described
P11,Planet & Nature,Space & Orbital Objects,"Satellites, orbits, debris, space weather",space_object; orbit; ownership_ref; space_weather,Space sub-agent; asset owners per S1,UN registry; CCSDS,described
U7,Built Environment,Address & Location Referencing,"Addresses, geocodes, points of interest",address; geocode; poi; reference_system,Address registrar (A12 mandate),ISO 19160; UPU S42,described
K8,Activity & Work,Production & Manufacturing,Transforming materials into goods,production_run; plant_ref; bill_of_materials; batch; yield,producing organization,ISA-95; GS1,described
K9,Activity & Work,Agriculture & Husbandry,"Farms, crops, livestock, seasons, harvest",farm; crop; livestock; season; harvest,farming organization/person,AGROVOC; FAO,described
K10,Activity & Work,Resource Extraction Operations,"Mining, drilling, logging, fishing as operations",operation; site_ref(P5); quota; output; restoration_duty,extracting org under S1 commons grant,UNFC; fisheries stds,described
K11,Activity & Work,Maintenance & Repair,Upkeep of assets and infrastructure,maintenance_act; asset_ref; schedule; condition_delta,asset owner or contracted operator,ISO 55000,described
K12,Activity & Work,Health Care Delivery,"Providers, facilities, capacity, encounters (system side of B10)",provider; facility_ref; capacity; encounter_ref,provider organizations; Health sub-agent oversight,HL7 FHIR (system),described
N9,Knowledge & Information,Language & Terminology,"Languages, scripts, translation, glossaries",language; script; term; translation,Knowledge sub-agent (class); authors,ISO 639/15924; TBX,described
N10,Knowledge & Information,Official Statistics & Indicators,"Census, indicators, indices, statistical series",indicator; series; census; methodology_ref,Statistics steward (S5-bound),SDMX; DDI,described
N11,Knowledge & Information,Time & Calendar Reference,"Calendars, time zones, holidays and observances",calendar; timezone; holiday; observance,Knowledge sub-agent,ISO 8601; IANA tz,described
N12,Knowledge & Information,Intellectual Property,"Patents, trademarks, copyright, IP licensing",ip_right; registration; holder_ref; license,right holder; IP registrar keeps register,WIPO standards,described
O6,Organizations,Labor Market & Vacancy,"Vacancies, applications, matching, placement",vacancy; application; match; placement,posting organization; candidate side self-owned,ESCO; HR-Open,described
O7,Organizations,Procurement & Tendering,"Tenders, bids, awards (incl. public procurement)",tender; bid; award; performance_bond,procuring organization; public tenders A12-registered,OCDS; UNCITRAL,described
F7,Flows & Resources,Passenger Mobility & Transit,"Routes, schedules, trips, fares, public transport",route; schedule; trip; fare; ridership,transit operators,GTFS; Transmodel,described
F8,Flows & Resources,Credit Debt & Financial Instruments,"Loans, bonds, equity, collateral, holdings",instrument; issuance; holding; collateral; obligation,issuer and holder (bilateral); R2-anchored,ISO 20022; FIGI; LEI,described
F9,Flows & Resources,Communications & Data Transmission,"Telecom/internet as service: spectrum, addressing, traffic",network_service; spectrum_grant; address_block; traffic_aggregate,operators; spectrum = S1 commons grant,ITU; IETF; BGP registries,described
A13,Polity,Election & Electoral Process,"Electing officeholders: campaigns, ballots, results",election; candidacy; ballot; result; mandate_grant,Electoral registrar (independent A12 mandate),election standards,described
A14,Polity,Permit License & Authorization,Application-to-grant processes for regulated activity,application; review; grant_ref(R5); condition; revocation,authorizing sub-agent; grants live in R5,CPSV,described
A15,Polity,Interstate Relations & Treaties,"Foreign affairs, treaties, memberships (MUFP between polities)",treaty; party; obligation; membership,Foreign-affairs sub-agent,VCLT; MUFP,described
A16,Polity,Border Customs & Migration,"Border crossings, customs, residency and migration status",crossing; customs_declaration; residency_status; visa,Border sub-agent; person status self-visible,WCO; ICAO,described
A17,Polity,Defense & Security Forces,"Forces, assets, mandates (breadth placeholder; detail = G3)",force; asset_ref; mandate; readiness,Defense sub-agent (tightest S defaults),NATO stds (ref),described
A18,Polity,Offense Investigation & Enforcement,"Offenses, investigations, cases, penalties, corrections",offense; investigation; case_ref(A19); penalty; correction,Enforcement sub-agent; due process via A6/S2,ECRIS-like; national,described
A19,Polity,Dispute Resolution & Adjudication,Disputes deciding forums proceedings decisions and remedies,dispute; forum; proceeding; decision; remedy,each forum for its case records; parties for their own side via S1,Akoma Ntoso; ELI,described
B13,Society,Social Provision & Benefit,"Delivery of floors, benefits, social care",benefit; entitlement; delivery; care_service,Social sub-agent; person sees own record,ESSPROS,described
B14,Society,Public Health & Epidemiology,"Population health, outbreaks, immunization",population_health; outbreak; immunization; measure,Health sub-agent (S5 cohort-grain),WHO ICD; FHIR,described
D5,Civilization,Sport Games & Recreation,"Sports, leagues, competitions, recreation",sport; league; competition; result; facility_ref,organizing bodies,SportsML,described
D6,Civilization,Religion & Belief Institutions,"Confessions, congregations, practices",confession; congregation_ref(O1); practice; site_ref,the communities themselves (strong S defaults),CIDOC-CRM,described
D7,Civilization,Tourism & Hospitality,"Destinations, stays, hospitality services",destination; stay; accommodation_ref(U); experience,providers; Territory sub-agent for destinations,UNWTO; schema.org,described
D8,Civilization,Public Discourse & Opinion,"Opinion, polls, discourse, information campaigns",opinion_measure; poll; discourse_topic; campaign,polling orgs (methodology open); B8 epistemic ties,AAPOR practice,described
D9,Civilization,Social Norm & Custom,"Informal rules, traditions, etiquette (non-law rules)",norm; custom; community_ref; sanction_informal,communities; observed not decreed,social science,described
S8,Security Ownership & Access,Cyber Integrity & System Security,"Vulnerabilities, threats, incidents of N4/M8 systems",vulnerability; threat; cyber_incident; patch_state,system owners; CERT steward coordinates,CVE/CWE; ISO 27001,described
H1,People & Groups,Person,Natural person as a civil identity and life-course subject,person; identity_document; capacity; life_event_ref,civil registrar for the registered identity; the person as owner of personal data via S1,schema.org Person; ISO/IEC 24760; OASIS CIQ,described
H2,People & Groups,Household & Family,Households and family relations as social and administrative units,household; family_relation; dependency; residence,the household members; civil registrar for registered relations,schema.org; UN census recommendations,described
H3,People & Groups,Population Group & Community,Groups cohorts and communities as addressable collectives,group; membership; cohort_definition; community,group steward; statistics office for statistical cohorts,W3C ORG; SKOS,described
H4,People & Groups,Education Learning & Qualification,Learning paths education institutions and earned qualifications,program; enrollment; qualification; credential,education registrar for credentials; the learner via S1,Europass EDC; ESCO; CEDS,described
