ID,Cluster,MetaModel,Purpose,KeyObjects,Reuse,Formalize,Priority
A9,Polity,Fundamental Rights,Inviolable rights (life/bodily-integrity/liberty/consent/exit) not priceable/votable/tradeable; rights-violation vs priced anti-value,"right; inviolable_floor; rights_violation; not_priceable",UDHR; ICCPR; ECHR; jus cogens,P1,high
B1,Society,Citizen,Identity demographics capabilities life-cycle wellbeing,"citizen; demographics; lifecycle",orkestro.net Persona; schema:Person; W3C DID,now,high
B2,Society,Civic Role,Roles as Positions with duties KPI value-contribution profile,"role; position; duty",orkestro.net Position/Assignment,now,high
B3,Society,Household / Family,Family household dependents reproduction (demographic value),"family; household; dependent",schema:Person/Family; GEDCOM-X,P1,medium
B4,Society,Civic Reputation,Contribution reputation social standing autonomy level,"reputation; standing; autonomy",orkestro.net TrackRecord/Agent Rank (APM),now,high
B5,Society,Needs & Wellbeing,Needs hierarchy incl meaning/belonging; loss-of-meaning risk,"need; satisfaction; meaning_risk",new (article human-purpose axis),P1,medium
B6,Society,Education & Human Development,Learning paths skills mentorship; educational value,"learning_path; skill; mentorship",ESCO; O*NET; 1EdTech,P1,medium
B7,Society,Party / Delegation,Liquid democracy: revocable topic-scoped delegation of weight-vote; representation-fidelity; concentration cap,"party; delegation; topic_scope; representation_fidelity; concentration_cap",liquid/delegative democracy; orkestron TrackRecord,P1,high
B8,Society,Expert / Calibrated Expertise,Domain-scoped expertise earned by calibrated later-verified claims; evaluates parties; undistorted delivery (anti-propaganda),"expert; expertise_score; calibration; conflict_of_interest",Tetlock/Brier calibration; orkestron TrackRecord,P1,medium
B9,Society,Recognition & Generosity,Peer-issued recognition (costly to giver weighted by giver reputation); donated un-consumed value books bonus Ae on meaning/social,"recognition; generosity_flow; peer_attestation; giver_weight",new (article human-purpose); orkestron attestation,P1,medium
C1,Economy,Business / Organization,Companies AI-infra owners production systemic-effect profile,"company; production; systemic_effect",orkestron-ai org; W3C ORG; LEI; NACE,P1,medium
C2,Economy,Market / Exchange,Marketplace value/compute exchange clearing price; market booking vs civilizational booking,"market; exchange; clearing; price; market_booking",orkestron.ai marketplace + compute exchange,P2,medium
C3,Economy,Contribution / Work,Missions contracts work-items contribution units,"mission; contract; work_item; contribution",orkestron.dev Contract + orkestro.net Mission,now,high
C4,Economy,Infrastructure,Energy logistics compute transport housing; infrastructural value,"infrastructure; capacity; resilience",new; schema:Infrastructure; CIM,P2,low
C5,Economy,Settlement Escrow & Clawback,Value-money coupling: externality-escrow; continuous anti-value debit; concentration charge; retrospective clawback; remediation routing; multidimensional Pigou overlay,"settlement; externality_escrow; anti_value_debit; concentration_charge; clawback; remediation_routing",orkestron settlement/AccessGrant/ControlPolicy trust-ramp; Pigou,P1,high
C6,Economy,Inter-Frame Routing & Incentive Matching,State as value router/market-maker: pay actors in their own frame; positive-sum cross-frame matchmaking; privacy-preserving frame disclosure,"frame_disclosure; incentive_match; value_routing; realized_over_given; reference_basket",new; orkestron AccessGrant (scoped); ZK/attestation,P2,medium
D1,Civilization,Civilizational Mission,Large-scale state missions (demography/science/space/ecology),"mission; objective; cohort",orkestro.net Mission scaled,P1,high
D2,Civilization,Science & Knowledge,Research institutions projects discoveries; scientific value,"institution; project; discovery",schema:ScholarlyArticle; CERIF,P2,low
D3,Civilization,Culture & Meaning,Culture identity narrative motivation; meaning dimension,"culture; identity; narrative",new (article core warning),P2,medium
D4,Civilization,Ecology & Sustainability,Ecosystems resources emissions; ecological value/anti-value,"ecosystem; resource; emission",ESRS/GRI; ISO 14001; SWEET,P2,low
E1,Runtime,Agent-Citizen Runtime,Mapping Citizen/Role to Orkestro Persona+Position; cognitive tier,"runtime_agent; tier; activation",orkestro.net Agent Hub,now,critical
E2,Runtime,Simulation Time & Events,Sim-clock ticks events schedule; Semantic Timeline,"clock; tick; event; schedule",Meta-Universe Event; OWL-Time,now,critical
E3,Runtime,Observation & Metrics,Value dashboards imbalance signals KPI anti-value alerts; participation-condition (theta) monitoring; flow-resistance/leakage,"dashboard; signal; kpi; alert; theta_monitor; frame_divergence",AISMM health; orkestron Langfuse,now,high
E4,Runtime,Control Policy / Governance Dial,Dynamic governance: checkpoints autonomy ramps overrides,"control_policy; checkpoint; override",orkestron.net ControlPolicy,now,high
