source_model_id,relation_type,target_model_id,instance_semantics,rationale,review_state
WM-SFT-005,CONTAINS,WM-SFT-013,Source repository contains change or pull requests,Development lifecycle,candidate
WM-SFT-007,REFERENCE,WM-SFT-012,Package or release references an SBOM,Supply-chain evidence,candidate
WM-SFT-008,REFERENCE,WM-SFT-012,Build or release produces an SBOM,Build provenance,candidate
WM-SFT-008,REFERENCE,WM-SFT-015,Build or release references test evidence,Release assurance,candidate
WM-SFT-009,REFERENCE,WM-SFT-008,Deployment installs a release,Runtime lifecycle,candidate
WM-SFT-009,REFERENCE,WM-SFT-010,Deployment targets a runtime environment,Runtime context,candidate
WM-SFT-014,REFERENCE,WM-SFT-013,Defect may be resolved by software change,Development traceability,candidate
WM-AI-001,COMPOSE,WM-SFT-004,AI system uses one or more model artifacts,System-model boundary,candidate
WM-AI-001,COMPOSE,WM-AI-002,AI system may expose agent actors,System-agent boundary,candidate
WM-AI-002,REFERENCE,WM-AI-005,AI agent uses prompt or agent configuration,Operational instruction,candidate
WM-AI-004,REFERENCE,WM-AI-002,Agent run references executing agent,Execution provenance,candidate
WM-AI-004,REFERENCE,WM-AI-005,Agent run references exact configuration,Reproducibility,candidate
WM-AI-006,REFERENCE,WM-DAT-001,Training run references datasets,Training provenance,candidate
WM-AI-006,PRODUCES,WM-SFT-004,Training run produces model artifact,Training lifecycle,candidate
WM-AI-003,REFERENCE,WM-AI-009,Evaluation references benchmark dataset,Evaluation reproducibility,candidate
WM-AI-003,REFERENCE,WM-SFT-004,Evaluation assesses a model artifact,Evaluation subject,candidate
WM-AI-008,REFERENCE,WM-KNW-015,AI governance assessment references risks and opportunities,Risk evidence,candidate
WM-VRT-005,REFERENCE,WM-PER-002,Service account may be bound to a federated digital identity,Keep-both boundary,candidate
WM-ACT-020,REFERENCE,WM-SFT-006,Cyber incident may reference vulnerabilities,Security context,candidate
WM-ACT-020,COMPOSE,WM-ACT-042,Cyber incident is handled by incident response,Incident/process separation,candidate
WM-ACT-042,REFERENCE,WM-ACT-043,Response invokes continuity or recovery plans,Resilience lifecycle,candidate
WM-ACT-014,CONTAINS,WM-ACT-018,Care delivery contains encounters,Healthcare matryoshka,candidate
WM-ACT-018,CONTAINS,WM-ACT-046,Encounter contains clinical observations or diagnoses,Clinical context,candidate
WM-ACT-049,REFERENCE,WM-LIV-021,Care plan addresses diseases or conditions,Clinical goal context,candidate
WM-ACT-049,CONTAINS,WM-ACT-047,Care plan may contain procedures,Clinical plan,candidate
WM-ACT-049,CONTAINS,WM-ACT-048,Care plan may contain medication orders,Clinical plan,candidate
WM-ACT-036,CONTAINS,WM-ACT-022,Research study contains experiments or trials,Research matryoshka,candidate
WM-ACT-036,REFERENCE,WM-MAT-005,Research study references specimens or samples,Research material,candidate
WM-ACT-036,PRODUCES,WM-DAT-001,Research study produces datasets,Research output,candidate
WM-ACT-036,PRODUCES,WM-REC-004,Research study produces scholarly publications,Research output,candidate
WM-ACT-036,CONTAINS,WM-ACT-054,Research study contains subject participation records,Research governance,candidate
WM-LIV-024,CONTAINS,WM-LIV-023,Biobank contains clinical or biological specimens,Sample repository matryoshka,candidate
WM-LIV-023,REFERENCE,WM-MAT-007,Specimen is processed through laboratory analyses,Clinical and laboratory boundary,candidate
WM-REC-015,CONTAINS,WM-REC-001,Archival fonds or collection contains records,Archival matryoshka,candidate
WM-SPC-004,CONTAINS,WM-SPC-001,Satellite mission contains spacecraft or orbital objects,Mission matryoshka,candidate
WM-ECO-037,EXTEND,WM-ECO-005,Debt instrument resolves part of the former credit/security category,Category split,candidate
WM-ECO-038,EXTEND,WM-ECO-005,Equity or security holding resolves part of the former credit/security category,Category split,candidate
WM-POL-028,EXTEND,WM-POL-006,Border crossing event resolves the event portion of former combined category,Category split,candidate
WM-POL-029,EXTEND,WM-POL-006,Migration status resolves the legal-status portion of former combined category,Category split,candidate
WM-MED-008,MIX-IN,WM-MED-002,Content provenance credential binds to media assets and renditions,Authenticity evidence,candidate
WM-AI-010,REFERENCE,WM-AI-001,AI incident report names affected AI systems,Regulatory reporting,candidate
WM-AI-010,REFERENCE,WM-ACT-019,AI incident specializes the general incident context,Incident alignment,candidate
WM-KNW-007,REFERENCE,WM-KNW-008,Claim is supported or challenged by evidence/citations,Knowledge graph,candidate
WM-KNW-010,REFERENCE,WM-KNW-008,Decision rationale cites evidence,Explainability,candidate
WM-KNW-012,REFERENCE,WM-KNW-013,Policy can be expressed through constraints or rules,Normative composition,candidate
