registry_id,record_plane,model_id,name,alternate_names,entry_kind,origin,status,review_state,nav_path,domain_tags,legacy_alias,existing_spec_ref,parent_ids,contains_ids,aligned_model_ids,purpose,owner_or_maintainer,source_url,namespace_uri,source_version_or_year,source_group,source_category,source_format,composition_role,default_link_type,priority_wave,priority_score,priority_method,priority_confidence,priority_rationale,factor_demand,factor_data,factor_reuse,factor_interop,factor_feasibility,factor_robotics,factor_overlap,possible_duplicate_of,shared_source_with,relations_ref,validation_flags,provenance
vr.wm-org-002,world-model,WM-ORG-002,Organizational Unit,,standalone-mm,grok-union-current,described-previous-version,migration-boundary-review,NAV.SOC.ORG.UNT,SOC.ORG.UNT,O2,models/organizations/O2-organizational-unit.md,,WM-ORG-004,,Internal structure of organizations,parent organization,,,2026-08-22,,,,CONTAINS,TYPED-EDGES,0,88,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,,,planning/VERCY-MODEL-RELATIONS.csv,,current-112 + Grok review + Claude adversarial audit
vr.wm-per-001,world-model,WM-PER-001,Person,,standalone-mm,grok-union-current,described-previous-version,migration-boundary-review,NAV.SOC.PER.NAT,SOC.PER.NAT,H1,models/people-groups/H1-person.md,,,,Natural person as a civil identity and life-course subject,civil registrar for the registered identity; the person as owner of personal data via S1,,,2026-08-22,,,,,,0,88,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,,,,"гражданская идентичность, не организм",current-112 + Grok review + Claude adversarial audit
vr.wm-xct-002,world-model,WM-XCT-002,Access Contract / Consent,,mixin,grok-union-current,described-previous-version,migration-boundary-review,NAV.XCT.ACC,XCT.ACC,S2,models/security-ownership-access/S2-access-contract-and-consent.md,,,,Machine-readable permission to read,the data owner (grantor),,,2026-08-22,,,,,,0,88,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,,,,MIX-IN,current-112 + Grok review + Claude adversarial audit
vr.wm-xct-020,world-model,WM-XCT-020,Classification Binding,,pattern,grok-union-current,candidate,first-pass-reviewed,NAV.XCT.CLS,XCT.CLS,,,,,,Candidate governed context model for Classification Binding; boundary questions remain required.,owner designated by the adopting Dimension,,,2026-08-22,,,,,,0,88,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,,,,ссылка на схему+код+версию,current-112 + Grok review + Claude adversarial audit
vr.wm-xct-003,world-model,WM-XCT-003,Projection / Disclosure Policy,,mixin,grok-union-current,described-previous-version,migration-boundary-review,NAV.XCT.DSC,XCT.DSC,S3,models/security-ownership-access/S3-disclosure-scope-and-projection-policy.md,,,,"The shape data leaves in: subset, summary, aggregate",the data owner,,,2026-08-22,,,,,,0,88,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,,,,MIX-IN,current-112 + Grok review + Claude adversarial audit
vr.wm-xct-011,world-model,WM-XCT-011,Identifier Scheme,,mixin,grok-union-current,described-previous-version,migration-boundary-review,NAV.XCT.IDS,XCT.IDS,N8,models/knowledge-information/N8-identifier-and-naming-system.md,,,,Identifier schemes and namespaces,scheme registrar,,,2026-08-22,,,,,,0,88,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,,,,R3,current-112 + Grok review + Claude adversarial audit
vr.wm-xct-010,world-model,WM-XCT-010,Location Referencing / Address,,mixin,grok-union-current,described-previous-version,migration-boundary-review,NAV.XCT.LOC,XCT.LOC,U7,models/built-environment/U7-address-and-location-referencing.md,,,,"Addresses, geocodes, points of interest",Address registrar (A12 mandate),,,2026-08-22,,,,,,0,88,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,,,,R1 value object,current-112 + Grok review + Claude adversarial audit
vr.wm-xct-001,world-model,WM-XCT-001,Ownership / Stewardship,,mixin,grok-union-current,described-previous-version,migration-boundary-review,NAV.XCT.OWN,XCT.OWN,S1,models/security-ownership-access/S1-meta-object-ownership-and-stewardship.md,,,,"Who controls every meta-object; transfers, delegation, guardianship",the polity's root registry (constitutional),,,2026-08-22,,,,,,0,88,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,,,,MIX-IN каждого объекта,current-112 + Grok review + Claude adversarial audit
vr.wm-xct-012,world-model,WM-XCT-012,Provenance,,mixin,grok-union-current,candidate,first-pass-reviewed,NAV.XCT.PROV,XCT.PROV,,,,,,Candidate governed context model for Provenance; boundary questions remain required.,owner designated by the adopting Dimension,,,2026-08-22,,,,,,0,88,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,,,,MIX-IN,current-112 + Grok review + Claude adversarial audit
vr.wm-xct-008,world-model,WM-XCT-008,Quantity / Unit,,mixin,grok-union-current,candidate,first-pass-reviewed,NAV.XCT.QTY,XCT.QTY,,,,,,Candidate governed context model for Quantity / Unit; boundary questions remain required.,owner designated by the adopting Dimension,,,2026-08-22,,,,,,0,88,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,,,,EMBED value object,current-112 + Grok review + Claude adversarial audit
vr.wm-xct-013,world-model,WM-XCT-013,Registry Pattern,,pattern,grok-union-current,described-previous-version,migration-boundary-review,NAV.XCT.REG,XCT.REG,R1,models/registries-ledgers/R1-registry-pattern.md,,,,"The generic register: entries, evidence, registrar, legal effect",registrar per A12 mandate,,,2026-08-22,,,,,,0,88,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,,,,паттерн,current-112 + Grok review + Claude adversarial audit
vr.wm-xct-009,world-model,WM-XCT-009,Time / Calendar,,mixin,grok-union-current,described-previous-version,migration-boundary-review,NAV.XCT.TME,XCT.TME,N11,models/knowledge-information/N11-time-and-calendar-reference.md,,,,"Calendars, time zones, holidays and observances",Knowledge sub-agent,,,2026-08-22,,,,,,0,88,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,,,,MIX-IN + reference,current-112 + Grok review + Claude adversarial audit
vr.wm-act-034,world-model,WM-ACT-034,Assessment / Evaluation,,standalone-mm,claude-plus-gap-audit,candidate,boundary-review-required,NAV.ACT.ASM,ACT.ASM,,,WM-ACT-009,,,"Subject, criteria, evidence, score and conclusion",owner designated by the adopting Dimension,,,2026-08-22,,,,,,0,86,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,"Subject, criteria, evidence, score and conclusion",0.92,0.84,0.88,0.82,0.88,0.00,0.06,,,,,Claude independent review + systematic gap audit + Claude adversarial audit
vr.wm-act-032,world-model,WM-ACT-032,Change Request,,standalone-mm,claude-plus-gap-audit,candidate,boundary-review-required,NAV.ACT.CHG,ACT.CHG,,,WM-ACT-021,,,Proposed controlled change and disposition,owner designated by the adopting Dimension,,,2026-08-22,,,,REFERENCE,TYPED-EDGES,0,86,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,Proposed controlled change and disposition,0.92,0.84,0.88,0.82,0.88,0.00,0.06,,,planning/VERCY-MODEL-RELATIONS.csv,,Claude independent review + systematic gap audit + Claude adversarial audit
vr.wm-act-027,world-model,WM-ACT-027,Communication Interaction,,standalone-mm,claude-plus-gap-audit,candidate,boundary-review-required,NAV.ACT.COM,ACT.COM,,,WM-ACT-018,,,Conversation/contact lifecycle across channels,owner designated by the adopting Dimension,,,2026-08-22,,,,,,0,86,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,Conversation/contact lifecycle across channels,0.92,0.84,0.88,0.82,0.88,0.00,0.06,,,,,Claude independent review + systematic gap audit + Claude adversarial audit
vr.wm-act-024,world-model,WM-ACT-024,Decision / Approval Activity,,standalone-mm,claude-plus-gap-audit,candidate,boundary-review-required,NAV.ACT.DEC,ACT.DEC,,,WM-ACT-002,,,"Authority, inputs, choice and outcome",owner designated by the adopting Dimension,,,2026-08-22,,,,,,0,86,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,"Authority, inputs, choice and outcome",0.92,0.84,0.88,0.82,0.88,0.00,0.06,,,,,Claude independent review + systematic gap audit + Claude adversarial audit
vr.wm-act-042,world-model,WM-ACT-042,Incident Response,,standalone-mm,claude-plus-gap-audit,candidate,boundary-review-required,NAV.ACT.INC,ACT.INC,,,WM-ACT-019,,,"Detection through containment, recovery and lessons",owner designated by the adopting Dimension,,,2026-08-22,,,,REFERENCE,TYPED-EDGES,0,86,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,"Detection through containment, recovery and lessons",0.92,0.84,0.88,0.82,0.88,0.00,0.06,,,planning/VERCY-MODEL-RELATIONS.csv,,Claude independent review + systematic gap audit + Claude adversarial audit
vr.wm-act-031,world-model,WM-ACT-031,Milestone / Deliverable,,standalone-mm,claude-plus-gap-audit,candidate,boundary-review-required,NAV.ACT.MIL,ACT.MIL,,,WM-ACT-005,,,Planned achievement and accepted output,owner designated by the adopting Dimension,,,2026-08-22,,,,,,0,86,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,Planned achievement and accepted output,0.92,0.84,0.88,0.82,0.88,0.00,0.06,,,,,Claude independent review + systematic gap audit + Claude adversarial audit
vr.wm-act-025,world-model,WM-ACT-025,Meeting / Session,,standalone-mm,claude-plus-gap-audit,candidate,boundary-review-required,NAV.ACT.MTG,ACT.MTG,,,WM-ACT-018,WM-REC-012;WM-REC-010,,"Participants, agenda, decisions and record",owner designated by the adopting Dimension,,,2026-08-22,,,,CONTAINS,TYPED-EDGES,0,86,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,"Participants, agenda, decisions and record",0.92,0.84,0.88,0.82,0.88,0.00,0.06,,,planning/VERCY-MODEL-RELATIONS.csv,,Claude independent review + systematic gap audit + Claude adversarial audit
vr.wm-act-033,world-model,WM-ACT-033,Review / Inspection / Audit,,standalone-mm,claude-plus-gap-audit,candidate,boundary-review-required,NAV.ACT.REV,ACT.REV,,,WM-ACT-009,,,"Evidence gathering, criteria, findings and decision",owner designated by the adopting Dimension,,,2026-08-22,,,,,,0,86,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,"Evidence gathering, criteria, findings and decision",0.92,0.84,0.88,0.82,0.88,0.00,0.06,,,,,Claude independent review + systematic gap audit + Claude adversarial audit
vr.wm-ai-002,world-model,WM-AI-002,AI Agent,,standalone-mm,claude-plus-gap-audit,candidate,boundary-review-required,NAV.INF.AI.AGT,INF.AI.AGT,,,WM-PER-003,,,"Autonomous actor with tools, memory, policy and authority",AI system owner and accountable deployer,,,2026-08-22,,,,REFERENCE,TYPED-EDGES,0,86,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,"Autonomous actor with tools, memory, policy and authority",0.92,0.84,0.88,0.82,0.88,0.00,0.06,,,planning/VERCY-MODEL-RELATIONS.csv,,Claude independent review + systematic gap audit + Claude adversarial audit
vr.wm-ai-003,world-model,WM-AI-003,AI Model Evaluation,,standalone-mm,claude-plus-gap-audit,candidate,boundary-review-required,NAV.INF.AI.EVL,INF.AI.EVL,,,WM-SFT-004,,,"Dataset, metric, run, finding and approval lifecycle",AI system owner and accountable deployer,,,2026-08-22,,,,REFERENCE,TYPED-EDGES,0,86,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,"Dataset, metric, run, finding and approval lifecycle",0.92,0.84,0.88,0.82,0.88,0.00,0.06,,,planning/VERCY-MODEL-RELATIONS.csv,,Claude independent review + systematic gap audit + Claude adversarial audit
vr.wm-ai-008,world-model,WM-AI-008,AI Safety / Governance Assessment,,standalone-mm,claude-plus-gap-audit,candidate,boundary-review-required,NAV.INF.AI.GOV,INF.AI.GOV,,,WM-ACT-037,,,"Risk, control, evidence and decision for an AI system",AI system owner and accountable deployer,,,2026-08-22,,,,REFERENCE,TYPED-EDGES,0,86,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,"Risk, control, evidence and decision for an AI system",0.92,0.84,0.88,0.82,0.88,0.00,0.06,,,planning/VERCY-MODEL-RELATIONS.csv,,Claude independent review + systematic gap audit + Claude adversarial audit
vr.wm-ai-005,world-model,WM-AI-005,Prompt / Agent Configuration,,standalone-mm,claude-plus-gap-audit,candidate,boundary-review-required,NAV.INF.AI.PRM,INF.AI.PRM,,,WM-KNW-005,,,Versioned operational instruction and tool configuration,AI system owner and accountable deployer,,,2026-08-22,,,,,,0,86,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,Versioned operational instruction and tool configuration,0.92,0.84,0.88,0.82,0.88,0.00,0.06,,,,,Claude independent review + systematic gap audit + Claude adversarial audit
vr.wm-ai-004,world-model,WM-AI-004,AI Inference / Agent Run,,standalone-mm,claude-plus-gap-audit,candidate,boundary-review-required,NAV.INF.AI.RUN,INF.AI.RUN,,,WM-AI-001,,,"Auditable execution with inputs, outputs, tools and cost",AI system owner and accountable deployer,,,2026-08-22,,,,REFERENCE,TYPED-EDGES,0,86,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,"Auditable execution with inputs, outputs, tools and cost",0.92,0.84,0.88,0.82,0.88,0.00,0.06,,,planning/VERCY-MODEL-RELATIONS.csv,,Claude independent review + systematic gap audit + Claude adversarial audit
vr.wm-ai-001,world-model,WM-AI-001,AI System,,standalone-mm,claude-plus-gap-audit,candidate,boundary-review-required,NAV.INF.AI.SYS,INF.AI.SYS,,,WM-SFT-002,,,Governed AI-enabled system beyond a model artifact,AI system owner and accountable deployer,,,2026-08-22,,,,COMPOSE,TYPED-EDGES,0,86,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,Governed AI-enabled system beyond a model artifact,0.92,0.84,0.88,0.82,0.88,0.00,0.06,,,planning/VERCY-MODEL-RELATIONS.csv,,Claude independent review + systematic gap audit + Claude adversarial audit
vr.wm-dat-006,world-model,WM-DAT-006,Data Lineage,,pattern,claude-plus-gap-audit,candidate,boundary-review-required,NAV.INF.DAT.LIN,INF.DAT.LIN,,,WM-XCT-012,,,Dataset/field derivation and processing provenance,data product owner or data steward,,,2026-08-22,,,,,,0,86,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,Dataset/field derivation and processing provenance,0.92,0.84,0.88,0.82,0.88,0.00,0.06,,,,,Claude independent review + systematic gap audit + Claude adversarial audit
vr.wm-dat-004,world-model,WM-DAT-004,Data Schema / Data Contract,,standalone-mm,claude-plus-gap-audit,candidate,boundary-review-required,NAV.INF.DAT.SCH,INF.DAT.SCH,,,WM-DAT-001,,,"Semantics, constraints and producer-consumer agreement",data product owner or data steward,,,2026-08-22,,,,,,0,86,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,"Semantics, constraints and producer-consumer agreement",0.92,0.84,0.88,0.82,0.88,0.00,0.06,,,,,Claude independent review + systematic gap audit + Claude adversarial audit
vr.wm-knw-007,world-model,WM-KNW-007,Claim / Proposition,,standalone-mm,claude-plus-gap-audit,candidate,boundary-review-required,NAV.INF.KNW.CLM,INF.KNW.CLM,,,WM-KNW-001,,,"Truth-apt assertion with scope, evidence and provenance","knowledge owner, standards body or decision authority",,,2026-08-22,,,,REFERENCE,TYPED-EDGES,0,86,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,"Truth-apt assertion with scope, evidence and provenance",0.92,0.84,0.88,0.82,0.88,0.00,0.06,,,planning/VERCY-MODEL-RELATIONS.csv,,Claude independent review + systematic gap audit + Claude adversarial audit
vr.wm-knw-006,world-model,WM-KNW-006,Concept / Term,,standalone-mm,claude-plus-gap-audit,candidate,boundary-review-required,NAV.INF.KNW.CON,INF.KNW.CON,,,WM-KNW-002,,,Stable semantic concept independent of a label,"knowledge owner, standards body or decision authority",,,2026-08-22,,,,,,0,86,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,Stable semantic concept independent of a label,0.92,0.84,0.88,0.82,0.88,0.00,0.06,,,,,Claude independent review + systematic gap audit + Claude adversarial audit
vr.wm-knw-010,world-model,WM-KNW-010,Decision / Rationale,,standalone-mm,claude-plus-gap-audit,candidate,boundary-review-required,NAV.INF.KNW.DEC,INF.KNW.DEC,,,WM-KNW-007,,,"Choice, alternatives, criteria and reasoning","knowledge owner, standards body or decision authority",,,2026-08-22,,,,REFERENCE,TYPED-EDGES,0,86,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,"Choice, alternatives, criteria and reasoning",0.92,0.84,0.88,0.82,0.88,0.00,0.06,,,planning/VERCY-MODEL-RELATIONS.csv,,Claude independent review + systematic gap audit + Claude adversarial audit
vr.wm-knw-008,world-model,WM-KNW-008,Evidence / Citation,,standalone-mm,claude-plus-gap-audit,candidate,boundary-review-required,NAV.INF.KNW.EVD,INF.KNW.EVD,,,WM-KNW-007,,,Support/challenge relation and source locator,"knowledge owner, standards body or decision authority",,,2026-08-22,,,,,,0,86,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,Support/challenge relation and source locator,0.92,0.84,0.88,0.82,0.88,0.00,0.06,,,,,Claude independent review + systematic gap audit + Claude adversarial audit
vr.wm-knw-011,world-model,WM-KNW-011,Goal / Objective,,standalone-mm,claude-plus-gap-audit,candidate,boundary-review-required,NAV.INF.KNW.GOL,INF.KNW.GOL,,,WM-ACT-008,,,Desired outcome with measure and horizon,"knowledge owner, standards body or decision authority",,,2026-08-22,,,,,,0,86,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,Desired outcome with measure and horizon,0.92,0.84,0.88,0.82,0.88,0.00,0.06,,,,,Claude independent review + systematic gap audit + Claude adversarial audit
vr.wm-knw-014,world-model,WM-KNW-014,Issue / Problem,,standalone-mm,claude-plus-gap-audit,candidate,boundary-review-required,NAV.INF.KNW.ISS,INF.KNW.ISS,,,WM-ACT-021,,,Recognized discrepancy requiring resolution,"knowledge owner, standards body or decision authority",,,2026-08-22,,,,,,0,86,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,Recognized discrepancy requiring resolution,0.92,0.84,0.88,0.82,0.88,0.00,0.06,,,,,Claude independent review + systematic gap audit + Claude adversarial audit
