registry_id,model_id,name,entry_kind,origin,status,nav_path,legacy_alias,parent_mm,contains_mm,priority_wave,priority_score,priority_rationale,factor_demand,factor_data,factor_reuse,factor_interop,factor_feasibility,factor_robotics,factor_overlap,external_merge_status,review_notes
vr.wm-eco-006,WM-ECO-006,Commercial Contract,standalone-mm,internal-desired,candidate,NAV.SOC.ECO.CTR,O5,,,0,88,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,pending,контракт не «организация»
vr.wm-eco-004,WM-ECO-004,Money / Instrument,standalone-mm,internal-desired,candidate,NAV.SOC.ECO.MNY,F2,,,0,88,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,pending,
vr.wm-eco-009,WM-ECO-009,Payment,standalone-mm,internal-desired,candidate,NAV.SOC.ECO.PAY,F2,,,0,88,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,pending,
vr.wm-org-001,WM-ORG-001,Organization,standalone-mm,internal-desired,candidate,NAV.SOC.ORG.ORG,O1,,,0,88,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,pending,
vr.wm-org-004,WM-ORG-004,Position,standalone-mm,internal-desired,candidate,NAV.SOC.ORG.POS,O2/O3,,,0,88,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,pending,
vr.wm-org-002,WM-ORG-002,Organizational Unit,standalone-mm,internal-desired,candidate,NAV.SOC.ORG.UNT,O2,,,0,88,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,pending,
vr.wm-per-001,WM-PER-001,Person,standalone-mm,internal-desired,candidate,NAV.SOC.PER.NAT,H1,,,0,88,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,pending,"гражданская идентичность, не организм"
vr.wm-xct-001,WM-XCT-001,Ownership / Stewardship,mixin,internal-desired,candidate,NAV.XCT,S1,,,0,88,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,pending,MIX-IN каждого объекта
vr.wm-xct-002,WM-XCT-002,Access Contract / Consent,mixin,internal-desired,candidate,NAV.XCT,S2,,,0,88,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,pending,MIX-IN
vr.wm-xct-003,WM-XCT-003,Projection / Disclosure Policy,mixin,internal-desired,candidate,NAV.XCT,S3,,,0,88,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,pending,MIX-IN
vr.wm-xct-008,WM-XCT-008,Quantity / Unit,mixin,internal-desired,candidate,NAV.XCT,+ QUDT,,,0,88,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,pending,EMBED value object
vr.wm-xct-009,WM-XCT-009,Time / Calendar,mixin,internal-desired,candidate,NAV.XCT,N11,,,0,88,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,pending,MIX-IN + reference
vr.wm-xct-010,WM-XCT-010,Location Referencing / Address,mixin,internal-desired,candidate,NAV.XCT,U7,,,0,88,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,pending,R1 value object
vr.wm-xct-011,WM-XCT-011,Identifier Scheme,mixin,internal-desired,candidate,NAV.XCT,N8,,,0,88,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,pending,R3
vr.wm-xct-012,WM-XCT-012,Provenance,mixin,internal-desired,candidate,NAV.XCT,+ PROV-O,,,0,88,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,pending,MIX-IN
vr.wm-xct-013,WM-XCT-013,Registry Pattern,pattern,internal-desired,candidate,NAV.XCT,R1,,,0,88,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,pending,паттерн
vr.wm-xct-020,WM-XCT-020,Classification Binding,pattern,internal-desired,candidate,NAV.XCT,,,,0,88,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,pending,ссылка на схему+код+версию
vr.wm-act-021,WM-ACT-021,Service Case / Ticket,standalone-mm,internal-desired,candidate,NAV.ACT.CSE,+ ITIL/CSDM,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,
vr.wm-act-020,WM-ACT-020,Cyber Incident,standalone-mm,internal-desired,candidate,NAV.ACT.CYB,S8,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,
vr.wm-act-014,WM-ACT-014,Health Care Delivery,standalone-mm,internal-desired,candidate,NAV.ACT.HCR,K12,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,
vr.wm-act-007,WM-ACT-007,Work Order,standalone-mm,internal-desired,candidate,NAV.ACT.WO,K11,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,
vr.wm-dat-002,WM-DAT-002,Official Statistics,standalone-mm,internal-desired,candidate,NAV.INF.DAT.STA,N10,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,
vr.wm-knw-005,WM-KNW-005,Agent Skill / Instruction,standalone-mm,internal-desired,candidate,NAV.INF.KNW.SKL,BKM,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,высокий спрос ИИ
vr.wm-sft-004,WM-SFT-004,ML Model Artifact,standalone-mm,internal-desired,candidate,NAV.INF.SFT.ML,,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,отдельный жизненный цикл
vr.wm-sft-006,WM-SFT-006,Vulnerability Record,standalone-mm,internal-desired,candidate,NAV.INF.SFT.VUL,S8,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,CVE как сущность
vr.wm-blt-001,WM-BLT-001,Building / Structure,standalone-mm,internal-desired,candidate,NAV.PHY.BLT.BLD,U1,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,
vr.wm-blt-006,WM-BLT-006,Facility,standalone-mm,internal-desired,candidate,NAV.PHY.BLT.FAC,+ критический пробел,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,
vr.wm-flw-004,WM-FLW-004,Goods Movement / Logistics,standalone-mm,internal-desired,candidate,NAV.PHY.FLW.LOG,F3,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,
vr.wm-liv-001,WM-LIV-001,Taxon,standalone-mm,internal-desired,candidate,NAV.PHY.LIV.TAX,P6/P7 общий родитель,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,
vr.wm-obj-007,WM-OBJ-007,Vehicle,standalone-mm,internal-desired,candidate,NAV.PHY.OBJ.VEH,M7,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,
vr.wm-plc-004,WM-PLC-004,Administrative Area,standalone-mm,internal-desired,candidate,NAV.PHY.PLC.ADM,+ сейчас спрятано в U4/A,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,
vr.wm-plc-002,WM-PLC-002,Land Parcel,standalone-mm,internal-desired,candidate,NAV.PHY.PLC.PAR,P2,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,
vr.wm-eco-012,WM-ECO-012,Budget,standalone-mm,internal-desired,candidate,NAV.SOC.ECO.BDG,MOS Treasury,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,
vr.wm-eco-008,WM-ECO-008,Invoice / Commercial Document,standalone-mm,internal-desired,candidate,NAV.SOC.ECO.INV,N1,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,UBL; можно child N1
vr.wm-eco-001,WM-ECO-001,Market / Exchange,standalone-mm,internal-desired,candidate,NAV.SOC.ECO.MKT,C? пропавший,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,
vr.wm-eco-002,WM-ECO-002,Price / Valuation,standalone-mm,internal-desired,candidate,NAV.SOC.ECO.PRC,C7,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,
vr.wm-org-005,WM-ORG-005,Employment,standalone-mm,internal-desired,candidate,NAV.SOC.ORG.EMP,O3,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,отделить от membership
vr.wm-org-006,WM-ORG-006,Membership,standalone-mm,internal-desired,candidate,NAV.SOC.ORG.MEM,O3,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,
vr.wm-org-003,WM-ORG-003,Team,standalone-mm,internal-desired,candidate,NAV.SOC.ORG.TEM,,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,пробел; не O2
vr.wm-per-003,WM-PER-003,Non-human Agent,standalone-mm,internal-desired,candidate,NAV.SOC.PER.AGT,,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,"ИИ-агент, сервис-актор"
vr.wm-per-008,WM-PER-008,Education / Qualification,standalone-mm,internal-desired,candidate,NAV.SOC.PER.EDU,H4,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,
vr.wm-per-007,WM-PER-007,Personal Health,standalone-mm,internal-desired,candidate,NAV.SOC.PER.HLTH,B10,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,
vr.wm-pol-009,WM-POL-009,Court / Arbitration Case,standalone-mm,internal-desired,candidate,NAV.SOC.POL.CSE,A19,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,дело ≠ форум
vr.wm-pol-001,WM-POL-001,Legal Instrument / Norm,standalone-mm,internal-desired,candidate,NAV.SOC.POL.NRM,,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,закон как объект; дыра
vr.wm-pol-004,WM-POL-004,Permit / Authorization,standalone-mm,internal-desired,candidate,NAV.SOC.POL.PRM,A14,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,грант живёт в Attestation
vr.wm-pol-011,WM-POL-011,Tax Obligation / Assessment,standalone-mm,internal-desired,candidate,NAV.SOC.POL.TAX,,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,дыра при высоком спросе ИИ
vr.wm-act-023,WM-ACT-023,Public Health / Epidemiology,standalone-mm,internal-desired,candidate,NAV.SOC/ACT,B14,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,
vr.wm-xct-006,WM-XCT-006,Verification / ZK Attestation,mixin,internal-desired,candidate,NAV.XCT,S6,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,поздний приоритет
vr.wm-xct-016,WM-XCT-016,Identity Register,pattern,internal-desired,candidate,NAV.XCT,R4,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,экземпляр паттерна
vr.wm-xct-017,WM-XCT-017,Attestation / Credential,mixin,internal-desired,candidate,NAV.XCT,R5,,,1,76,High current AI demand and an existing digital system of record,0.84,0.74,0.68,0.78,0.82,0.02,0.08,pending,
vr.wm-xct-004,WM-XCT-004,Access Audit,mixin,internal-desired,candidate,NAV.XCT,S4,,,2,65,Cross-cutting capability after the foundation mixins,0.61,0.65,0.76,0.72,0.67,0.00,0.14,pending,паттерн журнала
vr.wm-xct-005,WM-XCT-005,Privacy Aggregation Floor,mixin,internal-desired,candidate,NAV.XCT,S5,,,2,65,Cross-cutting capability after the foundation mixins,0.61,0.65,0.76,0.72,0.67,0.00,0.14,pending,MIX-IN статистики
vr.wm-xct-007,WM-XCT-007,Access Breach / Enforcement,mixin,internal-desired,candidate,NAV.XCT,S7,,,2,65,Cross-cutting capability after the foundation mixins,0.61,0.65,0.76,0.72,0.67,0.00,0.14,pending,близко к ACT-019/POL
vr.wm-xct-014,WM-XCT-014,Ledger / Account,pattern,internal-desired,candidate,NAV.XCT,R2,,,2,65,Cross-cutting capability after the foundation mixins,0.61,0.65,0.76,0.72,0.67,0.00,0.14,pending,паттерн + ECO
vr.wm-xct-015,WM-XCT-015,Event Register,pattern,internal-desired,candidate,NAV.XCT,R3,,,2,65,Cross-cutting capability after the foundation mixins,0.61,0.65,0.76,0.72,0.67,0.00,0.14,pending,часто не отдельная MM
vr.wm-xct-018,WM-XCT-018,Registry Federation,pattern,internal-desired,candidate,NAV.XCT,R6,,,2,65,Cross-cutting capability after the foundation mixins,0.61,0.65,0.76,0.72,0.67,0.00,0.14,pending,
vr.wm-xct-019,WM-XCT-019,Cyber Integrity,mixin,internal-desired,candidate,NAV.XCT,S8,,,2,65,Cross-cutting capability after the foundation mixins,0.61,0.65,0.76,0.72,0.67,0.00,0.14,pending,mixin систем N4/M8
vr.wm-act-016,WM-ACT-016,Observed Phenomenon,standalone-mm,internal-desired,candidate,NAV.ACT,X2,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,"часто не MM, а серия наблюдений"
vr.wm-act-002,WM-ACT-002,Act,standalone-mm,internal-desired,candidate,NAV.ACT.ACT,K2,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,
vr.wm-act-011,WM-ACT-011,Agriculture Operation,standalone-mm,internal-desired,candidate,NAV.ACT.AGR,K9,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,
vr.wm-act-001,WM-ACT-001,Function / Capability,standalone-mm,internal-desired,candidate,NAV.ACT.CAP,K1,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,
vr.wm-act-018,WM-ACT-018,Encounter,standalone-mm,internal-desired,candidate,NAV.ACT.ENC,X5,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,
vr.wm-act-022,WM-ACT-022,Experiment / Trial,standalone-mm,internal-desired,candidate,NAV.ACT.EXP,"+ CDISC/clinical [неопределённо, можно child healthcare]",,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,
vr.wm-act-012,WM-ACT-012,Extraction Operation,standalone-mm,internal-desired,candidate,NAV.ACT.EXT,K10,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,
vr.wm-act-019,WM-ACT-019,Incident / Emergency,standalone-mm,internal-desired,candidate,NAV.ACT.INC,X3,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,
vr.wm-act-013,WM-ACT-013,Maintenance,standalone-mm,internal-desired,candidate,NAV.ACT.MNT,K11,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,
vr.wm-act-009,WM-ACT-009,Method / Procedure,standalone-mm,internal-desired,candidate,NAV.ACT.MTH,K6,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,
vr.wm-act-003,WM-ACT-003,Process / Workflow,standalone-mm,internal-desired,candidate,NAV.ACT.PRC,K3,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,
vr.wm-act-010,WM-ACT-010,Production Run,standalone-mm,internal-desired,candidate,NAV.ACT.PRD,K8,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,
vr.wm-act-017,WM-ACT-017,Situation,standalone-mm,internal-desired,candidate,NAV.ACT.SIT,X4,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,
vr.wm-act-004,WM-ACT-004,Service,standalone-mm,internal-desired,candidate,NAV.ACT.SRV,K4,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,
vr.wm-com-001,WM-COM-001,Communications Service,standalone-mm,internal-desired,candidate,NAV.ACT.SRV / FLW,F9,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,"услуга, не кабель"
vr.wm-dat-003,WM-DAT-003,Map Product,standalone-mm,internal-desired,candidate,NAV.INF.DAT.MAP,,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,
vr.wm-knw-004,WM-KNW-004,Knowledge Article,standalone-mm,internal-desired,candidate,NAV.INF.KNW.ART,,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,
vr.wm-knw-003,WM-KNW-003,Intellectual Property Right,standalone-mm,internal-desired,candidate,NAV.INF.KNW.IP,N12,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,"право, не произведение"
vr.wm-knw-002,WM-KNW-002,Language / Terminology,standalone-mm,internal-desired,candidate,NAV.INF.KNW.LNG,N9,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,
vr.wm-knw-001,WM-KNW-001,Model / Ontology,standalone-mm,internal-desired,candidate,NAV.INF.KNW.MDL,N6,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,
vr.wm-med-001,WM-MED-001,Creative Work,standalone-mm,internal-desired,candidate,NAV.INF.MED.WRK,N5,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,"FRBR/LRM WEMI внутри, не снаружи"
vr.wm-rec-004,WM-REC-004,Scholarly Publication,standalone-mm,internal-desired,candidate,NAV.INF.REC.PUB,N5,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,
vr.wm-rec-006,WM-REC-006,Requirement,standalone-mm,internal-desired,candidate,NAV.INF.REC.REQ,AISMM B4,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,не всегда standalone
vr.wm-rec-002,WM-REC-002,Report / Statement,standalone-mm,internal-desired,candidate,NAV.INF.REC.RPT,N2,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,часто subtype N1
vr.wm-rec-005,WM-REC-005,Standard / Spec Artifact,standalone-mm,internal-desired,candidate,NAV.INF.REC.STD,N6,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,объект мега-реестра
vr.wm-sft-003,WM-SFT-003,API / Interface,standalone-mm,internal-desired,candidate,NAV.INF.SFT.API,AISMM B2,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,скорее слой
vr.wm-sft-005,WM-SFT-005,Source Repository,standalone-mm,internal-desired,candidate,NAV.INF.SFT.REPO,,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,
vr.wm-sft-002,WM-SFT-002,Deployed System,standalone-mm,internal-desired,candidate,NAV.INF.SFT.SYS,N4,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,можно бандл AISMM
vr.wm-vrt-005,WM-VRT-005,Online Account,standalone-mm,internal-desired,candidate,NAV.INF.VRT.ACC,PER-002,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,возможный дубль
vr.wm-vrt-006,WM-VRT-006,Channel / Community,standalone-mm,internal-desired,candidate,NAV.INF.VRT.CH,+ SIOC,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,
vr.wm-vrt-003,WM-VRT-003,Simulation,standalone-mm,internal-desired,candidate,NAV.INF.VRT.SIM,,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,
vr.wm-vrt-001,WM-VRT-001,Digital Twin,standalone-mm,internal-desired,candidate,NAV.INF.VRT.TWN,,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,"ISO 23247; это *отношение синхронизации*, не ещё одна вещь"
vr.wm-vrt-004,WM-VRT-004,Web Resource,standalone-mm,internal-desired,candidate,NAV.INF.VRT.WEB,,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,
vr.wm-vrt-002,WM-VRT-002,Virtual / Game World,standalone-mm,internal-desired,candidate,NAV.INF.VRT.WLD,,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,
vr.wm-eco-011,WM-ECO-011,Economic Asset view,view-candidate,internal-desired,candidate,NAV.SOC.ECO.AST,B11,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,"view, осторожно"
vr.wm-eco-014,WM-ECO-014,Sustainability Claim / PCF,standalone-mm,internal-desired,candidate,NAV.SOC.ECO.ESG,F6,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,"утверждение, не поток"
vr.wm-eco-003,WM-ECO-003,Insurance,standalone-mm,internal-desired,candidate,NAV.SOC.ECO.INS,C8,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,
vr.wm-eco-005,WM-ECO-005,Credit / Security,standalone-mm,internal-desired,candidate,NAV.SOC.ECO.INS2,F8,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,слишком склеено
vr.wm-eco-007,WM-ECO-007,Procurement,standalone-mm,internal-desired,candidate,NAV.SOC.ECO.PRC2,O7,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,
vr.wm-eco-010,WM-ECO-010,Clearing / Settlement,standalone-mm,internal-desired,candidate,NAV.SOC.ECO.STL,R2,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,
vr.wm-eco-013,WM-ECO-013,Crypto / Token,standalone-mm,internal-desired,candidate,NAV.SOC.ECO.TOK,,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,не смешивать с F2
vr.wm-org-007,WM-ORG-007,Mandate / Charter,standalone-mm,internal-desired,candidate,NAV.SOC.ORG.MND,O4,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,
vr.wm-org-009,WM-ORG-009,Public Office,standalone-mm,internal-desired,candidate,NAV.SOC.ORG.OFF,A11,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,специализация Position
vr.wm-org-008,WM-ORG-008,Vacancy / Matching,standalone-mm,internal-desired,candidate,NAV.SOC.ORG.VAC,O6,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,
vr.wm-per-006,WM-PER-006,Life Event / Civil Status,standalone-mm,internal-desired,candidate,NAV.SOC.PER.CIV,B12,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,
vr.wm-per-002,WM-PER-002,Digital Identity / Account,standalone-mm,internal-desired,candidate,NAV.SOC.PER.DIG,R4,,,2,62,Useful domain context after Wave 0/1 reference foundations,0.65,0.65,0.52,0.66,0.72,0.02,0.09,pending,"не регистр, а субъект"
