sequence,registry_id,model_id,name,entry_kind,priority_wave,priority_score,review_state,claude_status,grok_status,synthesis_status,validation_status
35,vr.wm-act-005,WM-ACT-005,Project,standalone-mm,0,88,migration-boundary-review,queued,queued,blocked-on-providers,not-run
36,vr.wm-act-006,WM-ACT-006,Task,standalone-mm,0,88,first-pass-reviewed,queued,queued,blocked-on-providers,not-run
37,vr.wm-act-008,WM-ACT-008,Plan / Schedule,standalone-mm,0,88,migration-boundary-review,queued,queued,blocked-on-providers,not-run
38,vr.wm-eco-006,WM-ECO-006,Commercial Contract,standalone-mm,0,88,migration-boundary-review,queued,queued,blocked-on-providers,not-run
39,vr.wm-eco-019,WM-ECO-019,Purchase Order,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
40,vr.wm-eco-008,WM-ECO-008,Invoice / Commercial Document,standalone-mm,1,77,migration-boundary-review,queued,queued,blocked-on-providers,not-run
41,vr.wm-eco-009,WM-ECO-009,Payment,standalone-mm,0,88,migration-boundary-review,queued,queued,blocked-on-providers,not-run
42,vr.wm-eco-016,WM-ECO-016,Financial Transaction / Journal Entry,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
43,vr.wm-sft-001,WM-SFT-001,Software Product,standalone-mm,0,88,migration-boundary-review,queued,queued,blocked-on-providers,not-run
44,vr.wm-sft-007,WM-SFT-007,Software Component / Package,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
45,vr.wm-ai-001,WM-AI-001,AI System,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
46,vr.wm-sft-004,WM-SFT-004,ML Model Artifact,standalone-mm,1,77,first-pass-reviewed,queued,queued,blocked-on-providers,not-run
47,vr.wm-ai-002,WM-AI-002,AI Agent,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
48,vr.wm-ai-005,WM-AI-005,Prompt / Agent Configuration,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
49,vr.wm-ai-004,WM-AI-004,AI Inference / Agent Run,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
50,vr.wm-ai-003,WM-AI-003,AI Model Evaluation,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
51,vr.wm-eco-004,WM-ECO-004,Money / Instrument,standalone-mm,0,88,migration-boundary-review,queued,queued,blocked-on-providers,not-run
52,vr.wm-xct-003,WM-XCT-003,Projection / Disclosure Policy,mixin,0,88,migration-boundary-review,queued,queued,blocked-on-providers,not-run
53,vr.wm-xct-013,WM-XCT-013,Registry Pattern,pattern,0,88,migration-boundary-review,queued,queued,blocked-on-providers,not-run
54,vr.wm-act-024,WM-ACT-024,Decision / Approval Activity,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
55,vr.wm-act-025,WM-ACT-025,Meeting / Session,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
56,vr.wm-act-027,WM-ACT-027,Communication Interaction,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
57,vr.wm-act-031,WM-ACT-031,Milestone / Deliverable,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
58,vr.wm-act-032,WM-ACT-032,Change Request,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
59,vr.wm-act-033,WM-ACT-033,Review / Inspection / Audit,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
60,vr.wm-act-034,WM-ACT-034,Assessment / Evaluation,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
61,vr.wm-act-042,WM-ACT-042,Incident Response,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
62,vr.wm-ai-008,WM-AI-008,AI Safety / Governance Assessment,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
63,vr.wm-dat-006,WM-DAT-006,Data Lineage,pattern,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
64,vr.wm-eco-015,WM-ECO-015,Financial Account,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
65,vr.wm-eco-020,WM-ECO-020,Sales Order,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
66,vr.wm-knw-006,WM-KNW-006,Concept / Term,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
67,vr.wm-knw-007,WM-KNW-007,Claim / Proposition,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
68,vr.wm-knw-008,WM-KNW-008,Evidence / Citation,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
69,vr.wm-knw-010,WM-KNW-010,Decision / Rationale,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
70,vr.wm-knw-011,WM-KNW-011,Goal / Objective,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
71,vr.wm-knw-012,WM-KNW-012,Policy / Rule,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
72,vr.wm-knw-014,WM-KNW-014,Issue / Problem,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
73,vr.wm-knw-015,WM-KNW-015,Risk / Opportunity,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
74,vr.wm-mat-008,WM-MAT-008,Observation / Measurement Record,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
75,vr.wm-per-010,WM-PER-010,Contact Point / Party Profile,mixin,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
76,vr.wm-pol-015,WM-POL-015,Jurisdiction,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
77,vr.wm-sft-008,WM-SFT-008,Build / Release,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
78,vr.wm-sft-009,WM-SFT-009,Deployment,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
79,vr.wm-sft-012,WM-SFT-012,SBOM / Supply-chain Manifest,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
80,vr.wm-sft-014,WM-SFT-014,Defect / Bug,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
81,vr.wm-sft-015,WM-SFT-015,Test Case / Test Result,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
82,vr.wm-xct-024,WM-XCT-024,Contact Point,mixin,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
83,vr.wm-xct-025,WM-XCT-025,Observable Result Fields,mixin,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
84,vr.wm-xct-027,WM-XCT-027,Risk / Control,mixin,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
85,vr.wm-xct-031,WM-XCT-031,Localization / Language,mixin,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
86,vr.wm-xct-032,WM-XCT-032,Currency / Monetary Value,mixin,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
87,vr.wm-xct-033,WM-XCT-033,Geometry / Coordinate Reference,mixin,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
88,vr.wm-xct-034,WM-XCT-034,Digital Signature / Proof,mixin,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
89,vr.wm-xct-036,WM-XCT-036,Alias / Same-as Mapping,mixin,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
90,vr.wm-xct-037,WM-XCT-037,Dependency / Impact,mixin,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
91,vr.wm-act-007,WM-ACT-007,Work Order,standalone-mm,1,77,migration-boundary-review,queued,queued,blocked-on-providers,not-run
92,vr.wm-act-014,WM-ACT-014,Health Care Delivery,standalone-mm,1,77,migration-boundary-review,queued,queued,blocked-on-providers,not-run
93,vr.wm-act-020,WM-ACT-020,Cyber Incident,standalone-mm,1,77,migration-boundary-review,queued,queued,blocked-on-providers,not-run
94,vr.wm-act-021,WM-ACT-021,Service Case / Ticket,standalone-mm,1,77,first-pass-reviewed,queued,queued,blocked-on-providers,not-run
95,vr.wm-act-023,WM-ACT-023,Public Health / Epidemiology,standalone-mm,1,77,migration-boundary-review,queued,queued,blocked-on-providers,not-run
96,vr.wm-blt-001,WM-BLT-001,Building / Structure,standalone-mm,1,77,migration-boundary-review,queued,queued,blocked-on-providers,not-run
97,vr.wm-dat-002,WM-DAT-002,Official Statistics,standalone-mm,1,77,migration-boundary-review,queued,queued,blocked-on-providers,not-run
98,vr.wm-eco-001,WM-ECO-001,Market / Exchange,standalone-mm,1,77,first-pass-reviewed,queued,queued,blocked-on-providers,not-run
99,vr.wm-eco-002,WM-ECO-002,Price / Valuation,standalone-mm,1,77,migration-boundary-review,queued,queued,blocked-on-providers,not-run
100,vr.wm-eco-012,WM-ECO-012,Budget,standalone-mm,1,77,first-pass-reviewed,queued,queued,blocked-on-providers,not-run
101,vr.wm-flw-004,WM-FLW-004,Goods Movement / Logistics,standalone-mm,1,77,migration-boundary-review,queued,queued,blocked-on-providers,not-run
102,vr.wm-knw-005,WM-KNW-005,Agent Skill / Instruction,standalone-mm,1,77,first-pass-reviewed,queued,queued,blocked-on-providers,not-run
103,vr.wm-liv-001,WM-LIV-001,Taxon,standalone-mm,1,77,migration-boundary-review,queued,queued,blocked-on-providers,not-run
104,vr.wm-obj-007,WM-OBJ-007,Vehicle,standalone-mm,1,77,migration-boundary-review,queued,queued,blocked-on-providers,not-run
105,vr.wm-org-005,WM-ORG-005,Employment,standalone-mm,1,77,migration-boundary-review,queued,queued,blocked-on-providers,not-run
106,vr.wm-org-006,WM-ORG-006,Membership,standalone-mm,1,77,migration-boundary-review,queued,queued,blocked-on-providers,not-run
107,vr.wm-per-003,WM-PER-003,Non-human Agent,standalone-mm,1,77,first-pass-reviewed,queued,queued,blocked-on-providers,not-run
108,vr.wm-per-007,WM-PER-007,Personal Health,standalone-mm,1,77,migration-boundary-review,queued,queued,blocked-on-providers,not-run
109,vr.wm-per-008,WM-PER-008,Education / Qualification,standalone-mm,1,77,migration-boundary-review,queued,queued,blocked-on-providers,not-run
110,vr.wm-plc-002,WM-PLC-002,Land Parcel,standalone-mm,1,77,migration-boundary-review,queued,queued,blocked-on-providers,not-run
111,vr.wm-plc-004,WM-PLC-004,Administrative Area,standalone-mm,1,77,migration-boundary-review,queued,queued,blocked-on-providers,not-run
112,vr.wm-pol-001,WM-POL-001,Legal Instrument / Norm,standalone-mm,1,77,first-pass-reviewed,queued,queued,blocked-on-providers,not-run
113,vr.wm-pol-004,WM-POL-004,Permit / Authorization,standalone-mm,1,77,migration-boundary-review,queued,queued,blocked-on-providers,not-run
114,vr.wm-pol-009,WM-POL-009,Court / Arbitration Case,standalone-mm,1,77,migration-boundary-review,queued,queued,blocked-on-providers,not-run
115,vr.wm-pol-011,WM-POL-011,Tax Obligation / Assessment,standalone-mm,1,77,first-pass-reviewed,queued,queued,blocked-on-providers,not-run
116,vr.wm-sft-006,WM-SFT-006,Vulnerability Record,standalone-mm,1,77,migration-boundary-review,queued,queued,blocked-on-providers,not-run
117,vr.wm-xct-006,WM-XCT-006,Verification / ZK Attestation,mixin,1,77,migration-boundary-review,queued,queued,blocked-on-providers,not-run
118,vr.wm-xct-016,WM-XCT-016,Identity Register,pattern,1,77,migration-boundary-review,queued,queued,blocked-on-providers,not-run
119,vr.wm-xct-017,WM-XCT-017,Attestation / Credential,mixin,1,77,migration-boundary-review,queued,queued,blocked-on-providers,not-run
120,vr.wm-act-026,WM-ACT-026,Appointment / Reservation Event,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
121,vr.wm-act-028,WM-ACT-028,Campaign,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
122,vr.wm-act-029,WM-ACT-029,Program / Portfolio,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
123,vr.wm-act-030,WM-ACT-030,Initiative,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
124,vr.wm-act-035,WM-ACT-035,Test Execution,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
125,vr.wm-act-036,WM-ACT-036,Research Study,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
126,vr.wm-act-038,WM-ACT-038,Learning Activity / Course Delivery,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
127,vr.wm-act-039,WM-ACT-039,Recruitment / Hiring Process,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
128,vr.wm-act-040,WM-ACT-040,Onboarding / Offboarding,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
129,vr.wm-act-043,WM-ACT-043,Business Continuity / Recovery,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
130,vr.wm-act-044,WM-ACT-044,Content Publication,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
131,vr.wm-act-045,WM-ACT-045,Insurance Claim Handling,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
132,vr.wm-act-046,WM-ACT-046,Clinical Observation / Diagnosis,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
133,vr.wm-act-047,WM-ACT-047,Medical Procedure,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
134,vr.wm-act-048,WM-ACT-048,Medication Order / Administration,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
135,vr.wm-act-049,WM-ACT-049,Care Plan / Episode,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
136,vr.wm-act-051,WM-ACT-051,Regulatory Compliance Process,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
137,vr.wm-act-052,WM-ACT-052,Tax Filing / Assessment Process,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
138,vr.wm-act-053,WM-ACT-053,Data Processing Job / Pipeline Run,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
139,vr.wm-act-054,WM-ACT-054,Research Subject / Participant,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
140,vr.wm-ai-006,WM-AI-006,Model Training / Fine-tuning Run,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
141,vr.wm-ai-007,WM-AI-007,AI Model Registry Entry,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
142,vr.wm-ai-009,WM-AI-009,Evaluation Dataset / Benchmark,extension,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
143,vr.wm-ai-010,WM-AI-010,AI Incident Report,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
144,vr.wm-dat-005,WM-DAT-005,Data Pipeline,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
145,vr.wm-dat-007,WM-DAT-007,Data Quality Assessment,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
146,vr.wm-dat-008,WM-DAT-008,Data Catalog Entry / Data Product,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
147,vr.wm-dat-009,WM-DAT-009,Survey / Questionnaire,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
148,vr.wm-dat-010,WM-DAT-010,Time Series / Observation Collection,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
149,vr.wm-eco-017,WM-ECO-017,Financial Position / Balance,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
150,vr.wm-eco-018,WM-ECO-018,Financial Statement,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
151,vr.wm-eco-021,WM-ECO-021,Offer / Quote,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
152,vr.wm-eco-022,WM-ECO-022,Subscription,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
153,vr.wm-eco-023,WM-ECO-023,Reservation / Booking,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
154,vr.wm-eco-024,WM-ECO-024,Fulfilment / Delivery,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
155,vr.wm-eco-025,WM-ECO-025,Return / Refund,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
156,vr.wm-eco-026,WM-ECO-026,Sales Lead / Opportunity,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
157,vr.wm-eco-027,WM-ECO-027,Marketing Campaign,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
158,vr.wm-eco-028,WM-ECO-028,Advertisement / Promotion,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
159,vr.wm-eco-030,WM-ECO-030,Grant / Donation,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
160,vr.wm-eco-031,WM-ECO-031,Payroll / Compensation,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
161,vr.wm-eco-032,WM-ECO-032,Tax Return / Filing,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
162,vr.wm-eco-033,WM-ECO-033,Regulatory Filing / Disclosure,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
163,vr.wm-eco-034,WM-ECO-034,ESG / Sustainability Disclosure,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
164,vr.wm-eco-035,WM-ECO-035,Audit / Assurance Engagement,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
165,vr.wm-eco-036,WM-ECO-036,Insurance Claim,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
166,vr.wm-eco-037,WM-ECO-037,Debt Instrument,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
167,vr.wm-eco-038,WM-ECO-038,Equity / Security Holding,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
168,vr.wm-flw-009,WM-FLW-009,Journey / Trip,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
169,vr.wm-flw-010,WM-FLW-010,Route / Itinerary,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
170,vr.wm-flw-011,WM-FLW-011,Shipment / Consignment,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
171,vr.wm-flw-012,WM-FLW-012,Inventory Movement,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
172,vr.wm-flw-013,WM-FLW-013,Supply-chain Trace / Chain of Custody,pattern,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
173,vr.wm-flw-015,WM-FLW-015,Resource Consumption,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
174,vr.wm-knw-009,WM-KNW-009,Hypothesis,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
175,vr.wm-knw-013,WM-KNW-013,Constraint / Requirement Rule,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
176,vr.wm-knw-016,WM-KNW-016,Assumption,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
177,vr.wm-knw-018,WM-KNW-018,Taxonomy / Classification Scheme,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
178,vr.wm-liv-012,WM-LIV-012,Genomic Sequence / Variant,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
179,vr.wm-liv-021,WM-LIV-021,Disease / Biological Condition,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
180,vr.wm-liv-023,WM-LIV-023,Clinical / Biological Specimen,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
181,vr.wm-med-002,WM-MED-002,Media Asset / Rendition,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
182,vr.wm-med-003,WM-MED-003,Publication / Edition,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
183,vr.wm-med-008,WM-MED-008,Content Provenance Credential,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
184,vr.wm-obj-017,WM-OBJ-017,Product Configuration / Variant,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
185,vr.wm-obj-018,WM-OBJ-018,Engineering Design / Product Definition,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
186,vr.wm-obj-019,WM-OBJ-019,Component Type / Engineering BOM,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
187,vr.wm-obj-020,WM-OBJ-020,Inventory Stock Position,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
188,vr.wm-org-011,WM-ORG-011,Business Establishment / Branch,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
189,vr.wm-org-012,WM-ORG-012,Inter-organizational Relationship,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
190,vr.wm-org-013,WM-ORG-013,Stakeholder / Interest,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
191,vr.wm-org-014,WM-ORG-014,Customer / Account Relationship,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
192,vr.wm-org-015,WM-ORG-015,Supplier / Partner Relationship,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
193,vr.wm-org-018,WM-ORG-018,Governance Body / Committee,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
194,vr.wm-org-019,WM-ORG-019,Organization Policy,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
195,vr.wm-per-011,WM-PER-011,Interpersonal Relationship,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
196,vr.wm-per-013,WM-PER-013,Professional License / Credential,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
197,vr.wm-pol-016,WM-POL-016,Public Authority / Institution,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
198,vr.wm-pol-017,WM-POL-017,Administrative Procedure / Case,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
199,vr.wm-pol-018,WM-POL-018,Public Service / Government Service,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
200,vr.wm-pol-019,WM-POL-019,Legal Filing / Pleading,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
201,vr.wm-pol-020,WM-POL-020,Evidence Item / Exhibit,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
202,vr.wm-pol-021,WM-POL-021,Judgment / Legal Decision,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
