"sequence","model_id","name","registry_id","entry_kind","nav_path","domain_tags","priority_score","priority_confidence","registry_review_state","stream_status"
"329","WM-OBJ-005","Medicinal Product","vr.wm-obj-005","standalone-mm","NAV.PHY.OBJ.DRUG","PHY.OBJ.DRUG","61","low","migration-boundary-review","queued"
"335","WM-OBJ-012","Assembly Instance / As-built BOM","vr.wm-obj-012","standalone-mm","NAV.PHY.OBJ.ASM","PHY.OBJ.ASM","61","low","first-pass-reviewed","queued"
"341","WM-OBJ-022","Asset Lifecycle Record","vr.wm-obj-022","view-candidate","NAV.PHY.OBJ.AST","PHY.OBJ.AST","61","low","boundary-review-required","queued"
"347","WM-PLC-003","Water Body","vr.wm-plc-003","standalone-mm","NAV.PHY.PLC.WAT","PHY.PLC.WAT","61","low","migration-boundary-review","queued"
"353","WM-POL-022","Sanction / Sentence","vr.wm-pol-022","standalone-mm","NAV.SOC.POL.SAN","SOC.POL.SAN","61","low","boundary-review-required","queued"
"359","WM-VRT-007","3D Scene / Environment","vr.wm-vrt-007","standalone-mm","NAV.INF.VRT.3D","INF.VRT.3D","61","low","boundary-review-required","queued"
"365","WM-VRT-001","Digital Twin","vr.wm-vrt-001","standalone-mm","NAV.INF.VRT.TWN","INF.VRT.TWN","60","low","first-pass-reviewed","queued"
"371","WM-CIV-005","Social Norm","vr.wm-civ-005","standalone-mm","NAV.SOC.CIV.NRM","SOC.CIV.NRM","45","low","migration-boundary-review","queued"
"377","WM-EAR-004","Geology / Mineral Resource","vr.wm-ear-004","standalone-mm","NAV.PHY.EAR.GEO","PHY.EAR.GEO","45","low","migration-boundary-review","queued"
"383","WM-LIV-002","Organism Individual","vr.wm-liv-002","standalone-mm","NAV.PHY.LIV.ORG","PHY.LIV.ORG","45","low","first-pass-reviewed","queued"
"389","WM-LIV-008","Genetic Resource","vr.wm-liv-008","standalone-mm","NAV.PHY.LIV.GEN","PHY.LIV.GEN","45","low","first-pass-reviewed","queued"
"395","WM-LIV-016","Biological Pathway / Process","vr.wm-liv-016","standalone-mm","NAV.PHY.LIV.MOL","PHY.LIV.MOL","43","low","boundary-review-required","queued"
"401","WM-OBJ-024","Robot / Autonomous Machine","vr.wm-obj-024","standalone-mm","NAV.PHY.OBJ.ROB","PHY.OBJ.ROB","29","low","boundary-review-required","queued"
