"sequence","model_id","name","registry_id","entry_kind","nav_path","domain_tags","priority_score","priority_confidence","registry_review_state","stream_status"
"238","WM-ACT-018","Encounter","vr.wm-act-018","standalone-mm","NAV.ACT.ENC","ACT.ENC","63","low","migration-boundary-review","queued"
"244","WM-ECO-005","Credit / Security","vr.wm-eco-005","category-split-required","NAV.SOC.ECO.INS2","SOC.ECO.INS2","63","low","migration-boundary-review","queued"
"250","WM-KNW-001","Model / Ontology","vr.wm-knw-001","standalone-mm","NAV.INF.KNW.MDL","INF.KNW.MDL","63","low","migration-boundary-review","queued"
"256","WM-ORG-008","Vacancy / Matching","vr.wm-org-008","standalone-mm","NAV.SOC.ORG.VAC","SOC.ORG.VAC","63","low","migration-boundary-review","queued"
"262","WM-PER-009","Skill / Competency","vr.wm-per-009","standalone-mm","NAV.SOC.PER.SKL","SOC.PER.SKL","63","low","migration-boundary-review","queued"
"268","WM-POL-008","Offense / Investigation","vr.wm-pol-008","standalone-mm","NAV.SOC.POL.OFF","SOC.POL.OFF","63","low","migration-boundary-review","queued"
"274","WM-REC-004","Scholarly Publication","vr.wm-rec-004","standalone-mm","NAV.INF.REC.PUB","INF.REC.PUB","63","low","migration-boundary-review","queued"
"280","WM-VRT-002","Virtual / Game World","vr.wm-vrt-002","standalone-mm","NAV.INF.VRT.WLD","INF.VRT.WLD","63","low","first-pass-reviewed","queued"
"286","WM-ACT-050","Environmental Impact Assessment","vr.wm-act-050","standalone-mm","NAV.ACT.ENV","ACT.ENV","61","low","boundary-review-required","queued"
"292","WM-BLT-009","Linear Infrastructure Asset","vr.wm-blt-009","standalone-mm","NAV.PHY.BLT.NET","PHY.BLT.NET","61","low","boundary-review-required","queued"
"298","WM-ECO-029","Loyalty / Reward","vr.wm-eco-029","standalone-mm","NAV.SOC.ECO.LOY","SOC.ECO.LOY","61","low","boundary-review-required","queued"
"304","WM-FLW-007","Passenger Mobility","vr.wm-flw-007","standalone-mm","NAV.PHY.FLW.MOB","PHY.FLW.MOB","61","low","migration-boundary-review","queued"
"310","WM-LIV-014","Protein / Biomolecule","vr.wm-liv-014","standalone-mm","NAV.PHY.LIV.MOL","PHY.LIV.MOL","61","low","boundary-review-required","queued"
"316","WM-MAT-001","Chemical Substance","vr.wm-mat-001","standalone-mm","NAV.PHY.MAT.CHEM","PHY.MAT.CHEM","61","low","migration-boundary-review","queued"
"322","WM-MAT-007","Laboratory Test / Analysis","vr.wm-mat-007","standalone-mm","NAV.PHY.MAT.LAB","PHY.MAT.LAB","61","low","boundary-review-required","queued"
"328","WM-OBJ-004","Food Product","vr.wm-obj-004","standalone-mm","NAV.PHY.OBJ.FOOD","PHY.OBJ.FOOD","61","low","migration-boundary-review","queued"
"334","WM-OBJ-011","Spare Part","vr.wm-obj-011","standalone-mm","NAV.PHY.OBJ.PRT","PHY.OBJ.PRT","61","low","first-pass-reviewed","queued"
"340","WM-OBJ-021","Handling Unit / Logistics Container","vr.wm-obj-021","standalone-mm","NAV.PHY.OBJ.PKG","PHY.OBJ.PKG","61","low","boundary-review-required","queued"
"346","WM-PLC-001","Terrain / Landform","vr.wm-plc-001","standalone-mm","NAV.PHY.PLC.REL","PHY.PLC.REL","61","low","migration-boundary-review","queued"
"352","WM-PLC-009","Indoor Space","vr.wm-plc-009","standalone-mm","NAV.PHY.PLC.IND","PHY.PLC.IND","61","low","first-pass-reviewed","queued"
"358","WM-REC-015","Archival Fonds / Collection","vr.wm-rec-015","standalone-mm","NAV.INF.REC.FND","INF.REC.FND","61","low","boundary-review-required","queued"
"364","WM-VRT-013","Digital Thread","vr.wm-vrt-013","pattern","NAV.INF.VRT.THR","INF.VRT.THR","61","low","boundary-review-required","queued"
"370","WM-CIV-004","Public Discourse","vr.wm-civ-004","standalone-mm","NAV.SOC.CIV.DSC","SOC.CIV.DSC","45","low","migration-boundary-review","queued"
"376","WM-EAR-003","Soil","vr.wm-ear-003","standalone-mm","NAV.PHY.EAR.SOI","PHY.EAR.SOI","45","low","migration-boundary-review","queued"
"382","WM-EAR-009","EO Product","vr.wm-ear-009","standalone-mm","NAV.PHY.EAR.OBS","PHY.EAR.OBS","45","low","first-pass-reviewed","queued"
"388","WM-LIV-007","Microorganism / Pathogen","vr.wm-liv-007","standalone-mm","NAV.PHY.LIV.MIC","PHY.LIV.MIC","45","low","first-pass-reviewed","queued"
"394","WM-EAR-010","Ocean / Marine State","vr.wm-ear-010","standalone-mm","NAV.PHY.EAR.OCN","PHY.EAR.OCN","43","low","boundary-review-required","queued"
"400","WM-VRT-012","Simulation Scenario","vr.wm-vrt-012","standalone-mm","NAV.INF.VRT.SCN","INF.VRT.SCN","37","low","boundary-review-required","queued"
